Timestamp,ActiveCells,RightProjectionCell,LeftProjectionCell,Action,TimeToHit,LostTrackOfLeft,LostTrackOfRight
6/3/2023 5:31:32 PM,15_15,-1,-1,Generate,,,,
6/3/2023 5:31:32 PM,15_22,-1,-1,Generate,,,,
6/3/2023 5:31:33 PM,15_22,15,12,Touch,,,,
6/3/2023 5:31:33 PM,15_22,15,12,Touch,,,,
6/3/2023 5:31:33 PM,15_22,19,17,Touch,,,,
6/3/2023 5:31:33 PM,15_22,18,22,Touch,,,,
6/3/2023 5:31:33 PM,15_22,17,22,Hit,1.277853,,,
6/3/2023 5:31:33 PM,8_15,17,22,Generate,,,,
6/3/2023 5:31:33 PM,8_15,18,22,Touch,,,,
6/3/2023 5:31:33 PM,8_15,19,22,Touch,,,,
6/3/2023 5:31:34 PM,8_15,-1,-1,Touch,,,,
6/3/2023 5:31:34 PM,8_15,15,8,Hit,0.5892904,,,
6/3/2023 5:31:34 PM,15_16,15,8,Generate,,,,
6/3/2023 5:31:34 PM,15_16,15,9,Touch,,,,
6/3/2023 5:31:34 PM,15_16,15,9,Touch,,,,
6/3/2023 5:31:34 PM,15_16,15,8,Touch,,,,
6/3/2023 5:31:34 PM,15_16,15,8,Touch,,,,
6/3/2023 5:31:34 PM,15_16,19,21,Touch,,,,
6/3/2023 5:31:34 PM,15_16,15,16,Hit,2.41339,,,
6/3/2023 5:31:34 PM,1_16,15,16,Generate,,,,
6/3/2023 5:31:34 PM,1_16,14,20,Touch,,,,
6/3/2023 5:31:35 PM,1_16,19,16,Touch,,,,
6/3/2023 5:31:35 PM,1_16,15,16,Hit,0.8345243,,,
6/3/2023 5:31:35 PM,1_4,15,16,Generate,,,,
6/3/2023 5:31:35 PM,1_4,19,16,Touch,,,,
6/3/2023 5:31:35 PM,1_4,19,16,Touch,,,,
6/3/2023 5:31:35 PM,1_4,19,16,Touch,,,,
6/3/2023 5:31:35 PM,1_4,11,4,Touch,,,,
6/3/2023 5:31:36 PM,1_4,1,4,Hit,1.234759,,,
6/3/2023 5:31:36 PM,0_4,1,4,Generate,,,,
6/3/2023 5:31:36 PM,0_4,1,4,Touch,,,,
6/3/2023 5:31:36 PM,0_4,1,4,Touch,,,,
6/3/2023 5:31:36 PM,0_4,1,4,Touch,,,,
6/3/2023 5:31:36 PM,0_4,9,5,Touch,,,,
6/3/2023 5:31:36 PM,0_4,4,5,Hit,1.599389,,,
6/3/2023 5:31:36 PM,0_15,4,5,Generate,,,,
6/3/2023 5:31:36 PM,0_15,4,5,Touch,,,,
6/3/2023 5:31:36 PM,0_15,4,5,Touch,,,,
6/3/2023 5:31:37 PM,0_15,4,2,Touch,,,,
6/3/2023 5:31:37 PM,0_15,10,4,Touch,,,,
6/3/2023 5:31:37 PM,0_15,19,4,Touch,,,,
6/3/2023 5:31:37 PM,0_15,-1,5,Touch,,,,
6/3/2023 5:31:37 PM,0_15,15,5,Hit,0.9710205,,,
6/3/2023 5:31:37 PM,0_2,15,5,Generate,,,,
6/3/2023 5:31:38 PM,0_2,11,5,Touch,,,,
6/3/2023 5:31:38 PM,0_2,9,4,Touch,,,,
6/3/2023 5:31:38 PM,0_2,6,4,Touch,,,,
6/3/2023 5:31:38 PM,0_2,6,4,Touch,,,,
6/3/2023 5:31:38 PM,0_2,1,4,Touch,,,,
6/3/2023 5:31:38 PM,0_2,2,4,Hit,1.006958,,,
6/3/2023 5:31:38 PM,0_4,2,4,Generate,,,,
6/3/2023 5:31:38 PM,0_4,1,4,Touch,,,,
6/3/2023 5:31:38 PM,0_4,2,4,Touch,,,,
6/3/2023 5:31:39 PM,0_4,1,4,Touch,,,,
6/3/2023 5:31:39 PM,0_4,1,4,Touch,,,,
6/3/2023 5:31:39 PM,0_4,5,4,Touch,,,,
6/3/2023 5:31:39 PM,0_4,1,4,Touch,,,,
6/3/2023 5:31:39 PM,0_4,4,4,Hit,1.021281,,,
6/3/2023 5:31:39 PM,0_3,4,4,Generate,,,,
6/3/2023 5:31:39 PM,0_3,-1,4,Touch,,,,
6/3/2023 5:31:40 PM,0_3,0,4,Hit,4.132341,,,
6/3/2023 5:31:40 PM,3_7,0,4,Generate,,,,
6/3/2023 5:31:40 PM,3_7,1,4,Touch,,,,
6/3/2023 5:31:40 PM,3_7,6,4,Touch,,,,
6/3/2023 5:31:40 PM,3_7,6,4,Touch,,,,
6/3/2023 5:31:40 PM,3_7,6,4,Touch,,,,
6/3/2023 5:31:40 PM,3_7,7,5,Touch,,,,
6/3/2023 5:31:40 PM,3_7,7,5,Touch,,,,
6/3/2023 5:31:40 PM,3_7,7,6,Touch,,,,
6/3/2023 5:31:41 PM,3_7,11,6,Touch,,,,
6/3/2023 5:31:41 PM,3_7,11,6,Touch,,,,
6/3/2023 5:31:41 PM,3_7,6,10,Touch,,,,
6/3/2023 5:31:41 PM,3_7,7,7,Hit,1.33252,,,
6/3/2023 5:31:41 PM,3_9,7,7,Generate,,,,
6/3/2023 5:31:41 PM,3_9,2,7,Touch,,,,
6/3/2023 5:31:41 PM,3_9,2,3,Touch,,,,
6/3/2023 5:31:42 PM,3_9,7,3,Hit,2.299598,,,
6/3/2023 5:31:42 PM,9_19,7,3,Generate,,,,
6/3/2023 5:31:42 PM,9_19,7,3,Touch,,,,
6/3/2023 5:31:42 PM,9_19,11,3,Touch,,,,
6/3/2023 5:31:42 PM,9_19,11,3,Touch,,,,
6/3/2023 5:31:42 PM,9_19,11,12,Touch,,,,
6/3/2023 5:31:42 PM,9_19,10,9,Hit,1.26589,,,
6/3/2023 5:31:42 PM,19_22,10,9,Generate,,,,
6/3/2023 5:31:42 PM,19_22,11,9,Touch,,,,
6/3/2023 5:31:43 PM,19_22,23,13,Touch,,,,
6/3/2023 5:31:43 PM,19_22,19,13,Hit,1.644364,,,
6/3/2023 5:31:43 PM,9_22,19,13,Generate,,,,
6/3/2023 5:31:43 PM,9_22,23,13,Touch,,,,
6/3/2023 5:31:44 PM,9_22,22,13,Hit,1.377959,,,
6/3/2023 5:31:44 PM,8_9,22,13,Generate,,,,
6/3/2023 5:31:44 PM,8_9,22,13,Touch,,,,
6/3/2023 5:31:44 PM,8_9,13,8,Hit,0.53323,,,
6/3/2023 5:31:44 PM,5_9,13,8,Generate,,,,
6/3/2023 5:31:44 PM,5_9,18,9,Hit,1.232676,,,
6/3/2023 5:31:44 PM,5_17,18,9,Generate,,,,
6/3/2023 5:31:45 PM,5_17,13,9,Touch,,,,
6/3/2023 5:31:45 PM,5_17,18,5,Hit,0.6333754,,,
6/3/2023 5:31:45 PM,17_19,18,5,Generate,,,,
6/3/2023 5:31:45 PM,17_19,18,5,Touch,,,,
6/3/2023 5:31:45 PM,17_19,18,5,Touch,,,,
6/3/2023 5:31:45 PM,17_19,17,2,Hit,0.6999034,,,
6/3/2023 5:31:45 PM,16_19,17,2,Generate,,,,
6/3/2023 5:31:45 PM,16_19,17,6,Touch,,,,
6/3/2023 5:31:45 PM,16_19,17,6,Touch,,,,
6/3/2023 5:31:46 PM,16_19,19,10,Hit,0.6988829,,,
6/3/2023 5:31:46 PM,13_16,19,10,Generate,,,,
6/3/2023 5:31:46 PM,13_16,19,10,Touch,,,,
6/3/2023 5:31:46 PM,13_16,18,12,Touch,,,,
6/3/2023 5:31:46 PM,13_16,18,13,Hit,0.7335525,,,
6/3/2023 5:31:46 PM,16_19,18,13,Generate,,,,
6/3/2023 5:31:46 PM,16_19,18,13,Touch,,,,
6/3/2023 5:31:47 PM,16_19,23,13,Touch,,,,
6/3/2023 5:31:47 PM,16_19,19,12,Touch,,,,
6/3/2023 5:31:47 PM,16_19,23,12,Touch,,,,
6/3/2023 5:31:47 PM,16_19,23,12,Touch,,,,
6/3/2023 5:31:47 PM,16_19,19,12,Touch,,,,
6/3/2023 5:31:47 PM,16_19,19,12,Hit,1.232476,,,
6/3/2023 5:31:47 PM,7_16,19,12,Generate,,,,
6/3/2023 5:31:48 PM,7_16,20,16,Touch,,,,
6/3/2023 5:31:48 PM,7_16,20,16,Touch,,,,
6/3/2023 5:31:48 PM,7_16,20,16,Touch,,,,
6/3/2023 5:31:48 PM,7_16,16,16,Hit,3.133622,,,
6/3/2023 5:31:48 PM,7_9,16,16,Generate,,,,
6/3/2023 5:31:48 PM,7_9,16,16,Touch,,,,
6/3/2023 5:31:49 PM,7_9,7,13,Hit,1.33363,,,
6/3/2023 5:31:49 PM,9_13,7,13,Generate,,,,
6/3/2023 5:31:49 PM,9_13,6,12,Touch,,,,
6/3/2023 5:31:49 PM,9_13,6,12,Touch,,,,
6/3/2023 5:31:49 PM,9_13,6,12,Touch,,,,
6/3/2023 5:31:49 PM,9_13,6,12,Touch,,,,
6/3/2023 5:31:49 PM,9_13,13,8,Hit,0.598832,,,
6/3/2023 5:31:49 PM,3_9,13,8,Generate,,,,
6/3/2023 5:31:50 PM,3_9,17,9,Touch,,,,
6/3/2023 5:31:50 PM,3_9,13,9,Hit,1.564253,,,
6/3/2023 5:31:50 PM,3_13,13,9,Generate,,,,
6/3/2023 5:31:50 PM,3_13,6,8,Touch,,,,
6/3/2023 5:31:50 PM,3_13,2,8,Touch,,,,
6/3/2023 5:31:50 PM,3_13,2,12,Touch,,,,
6/3/2023 5:31:51 PM,3_13,2,12,Touch,,,,
