Timestamp,ActiveCells,RightProjectionCell,LeftProjectionCell,Action,TimeToHit,LostTrackOfLeft,LostTrackOfRight
6/4/2023 2:33:27 PM,5_5,11,5,Generate,,,,
6/4/2023 2:33:27 PM,5_17,11,5,Generate,,,,
6/4/2023 2:33:33 PM,,17,4,LostTrack,,,1
6/4/2023 2:33:41 PM,5_17,17,5,Hit,13.41795,,,
6/4/2023 2:33:41 PM,13_17,17,5,Generate,,,,
6/4/2023 2:33:41 PM,13_17,17,5,Touch,,,,
6/4/2023 2:33:41 PM,13_17,17,5,Touch,,,,
6/4/2023 2:33:41 PM,13_17,17,5,Touch,,,,
6/4/2023 2:33:41 PM,13_17,17,5,Touch,,,,
6/4/2023 2:33:42 PM,13_17,-1,6,Touch,,,,
6/4/2023 2:33:42 PM,13_17,-1,5,Touch,,,,
6/4/2023 2:33:42 PM,13_17,-1,5,Touch,,,,
6/4/2023 2:33:43 PM,13_17,-1,13,Hit,2.637248,,,
6/4/2023 2:33:43 PM,17_21,-1,13,Generate,,,,
6/4/2023 2:33:44 PM,17_21,22,13,Touch,,,,
6/4/2023 2:33:44 PM,17_21,22,13,Touch,,,,
6/4/2023 2:33:45 PM,17_21,-1,17,Hit,17.34975,,,
6/4/2023 2:33:45 PM,4_21,-1,17,Generate,,,,
6/4/2023 2:33:46 PM,4_21,21,16,Touch,,,,
6/4/2023 2:33:46 PM,4_21,-1,16,Touch,,,,
6/4/2023 2:33:46 PM,4_21,21,8,Hit,2.800331,,,
6/4/2023 2:33:46 PM,4_22,21,8,Generate,,,,
6/4/2023 2:33:46 PM,4_22,21,8,Touch,,,,
6/4/2023 2:33:47 PM,4_22,21,4,Touch,,,,
6/4/2023 2:33:48 PM,4_22,21,5,Touch,,,,
6/4/2023 2:33:48 PM,4_22,21,8,Touch,,,,
6/4/2023 2:33:49 PM,4_22,21,5,Touch,,,,
6/4/2023 2:33:50 PM,4_22,21,6,Touch,,,,
6/4/2023 2:33:51 PM,4_22,21,8,Touch,,,,
6/4/2023 2:33:52 PM,4_22,21,5,Touch,,,,
6/4/2023 2:33:53 PM,4_22,21,8,Touch,,,,
6/4/2023 2:33:53 PM,4_22,21,8,Touch,,,,
6/4/2023 2:33:53 PM,4_22,-1,10,Touch,,,,
6/4/2023 2:33:55 PM,4_22,22,6,Hit,8.768804,,,
6/4/2023 2:33:55 PM,4_10,22,6,Generate,,,,
6/4/2023 2:33:56 PM,4_10,10,8,Hit,1.299556,,,
6/4/2023 2:33:56 PM,4_15,10,8,Generate,,,,
6/4/2023 2:33:57 PM,4_15,15,12,Touch,,,,
