Timestamp,ActiveCells,RightProjectionCell,LeftProjectionCell,Action,TimeToHit,LostTrackOfLeft,LostTrackOfRight
6/4/2023 2:44:35 PM,21_21,10,5,Generate,,,,
6/4/2023 2:44:35 PM,21_134,10,5,Generate,,,,
6/4/2023 2:44:36 PM,21_134,21,19,Hit,1.096718,,,
6/4/2023 2:44:36 PM,82_134,21,19,Generate,,,,
6/4/2023 2:44:37 PM,82_134,55,134,Hit,2.042592,,,
6/4/2023 2:44:37 PM,4_82,55,134,Generate,,,,
6/4/2023 2:44:38 PM,4_82,70,82,Hit,1.635485,,,
6/4/2023 2:44:38 PM,4_96,70,82,Generate,,,,
6/4/2023 2:44:39 PM,4_96,23,4,Hit,1.389729,,,
6/4/2023 2:44:39 PM,39_96,23,4,Generate,,,,
6/4/2023 2:44:39 PM,39_96,39,96,Hit,1.599243,,,
6/4/2023 2:44:39 PM,39_68,39,96,Generate,,,,
6/4/2023 2:44:39 PM,39_68,39,96,Touch,,,,
6/4/2023 2:44:40 PM,39_68,39,67,Hit,1.632846,,,
6/4/2023 2:44:40 PM,47_68,39,67,Generate,,,,
6/4/2023 2:44:41 PM,47_68,40,68,Hit,1.276847,,,
6/4/2023 2:44:41 PM,47_67,40,68,Generate,,,,
6/4/2023 2:44:41 PM,47_67,47,53,Hit,1.276212,,,
6/4/2023 2:44:41 PM,67_132,47,53,Generate,,,,
6/4/2023 2:44:42 PM,67_132,44,67,Hit,1.665676,,,
6/4/2023 2:44:42 PM,94_132,44,67,Generate,,,,
6/4/2023 2:44:43 PM,94_132,43,132,Hit,1.589093,,,
6/4/2023 2:44:43 PM,74_94,43,132,Generate,,,,
6/4/2023 2:44:44 PM,74_94,78,39,Touch,,,,
6/4/2023 2:44:44 PM,74_94,94,72,Hit,1.544521,,,
6/4/2023 2:44:44 PM,52_74,94,72,Generate,,,,
6/4/2023 2:44:44 PM,52_74,95,74,Hit,1.377272,,,
6/4/2023 2:44:44 PM,52_94,95,74,Generate,,,,
6/4/2023 2:44:45 PM,52_94,60,52,Hit,1.443394,,,
6/4/2023 2:44:45 PM,36_94,60,52,Generate,,,,
6/4/2023 2:44:46 PM,36_94,94,37,Hit,1.511188,,,
6/4/2023 2:44:46 PM,36_131,94,37,Generate,,,,
6/4/2023 2:44:50 PM,36_131,52,131,Hit,4.320779,,,
6/4/2023 2:44:50 PM,36_123,52,131,Generate,,,,
6/4/2023 2:44:50 PM,36_123,52,131,Touch,,,,
6/4/2023 2:44:51 PM,36_123,52,131,Touch,,,,
6/4/2023 2:44:53 PM,36_123,139,37,Touch,,,,
6/4/2023 2:44:53 PM,36_123,139,37,Touch,,,,
6/4/2023 2:44:53 PM,36_123,139,37,Touch,,,,
6/4/2023 2:44:53 PM,36_123,139,37,Touch,,,,
6/4/2023 2:44:53 PM,36_123,139,37,Touch,,,,
6/4/2023 2:44:53 PM,36_123,139,37,Touch,,,,
6/4/2023 2:44:54 PM,36_123,139,37,Touch,,,,
6/4/2023 2:44:54 PM,36_123,139,37,Touch,,,,
6/4/2023 2:44:54 PM,36_123,139,37,Touch,,,,
6/4/2023 2:44:55 PM,36_123,139,37,Touch,,,,
6/4/2023 2:44:55 PM,36_123,139,21,Touch,,,,
6/4/2023 2:44:55 PM,36_123,139,-1,Touch,,,,
6/4/2023 2:44:55 PM,36_123,139,-1,Touch,,,,
6/4/2023 2:44:55 PM,36_123,139,-1,Touch,,,,
6/4/2023 2:44:56 PM,36_123,139,-1,Touch,,,,
6/4/2023 2:44:56 PM,36_123,139,-1,Touch,,,,
6/4/2023 2:44:56 PM,36_123,139,-1,Touch,,,,
6/4/2023 2:44:56 PM,36_123,139,-1,Touch,,,,
6/4/2023 2:44:57 PM,36_123,122,20,Touch,,,,
6/4/2023 2:44:57 PM,36_123,123,36,Hit,11.90775,,,
6/4/2023 2:44:57 PM,2_123,123,36,Generate,,,,
6/4/2023 2:44:57 PM,2_123,123,36,Touch,,,,
6/4/2023 2:44:58 PM,2_123,123,36,Touch,,,,
6/4/2023 2:44:58 PM,2_123,107,2,Hit,1.000277,,,
6/4/2023 2:44:58 PM,109_123,107,2,Generate,,,,
6/4/2023 2:44:58 PM,109_123,107,2,Touch,,,,
6/4/2023 2:44:59 PM,109_123,125,20,Touch,,,,
6/4/2023 2:44:59 PM,109_123,125,21,Touch,,,,
6/4/2023 2:44:59 PM,109_123,125,5,Touch,,,,
6/4/2023 2:45:00 PM,109_123,125,5,Touch,,,,
6/4/2023 2:45:00 PM,109_123,125,5,Touch,,,,
6/4/2023 2:45:00 PM,109_123,125,5,Touch,,,,
6/4/2023 2:45:01 PM,109_123,62,123,Hit,10.94009,,,
6/4/2023 2:45:01 PM,109_114,62,123,Generate,,,,
6/4/2023 2:45:01 PM,109_114,62,123,Touch,,,,
6/4/2023 2:45:01 PM,109_114,78,123,Touch,,,,
6/4/2023 2:45:02 PM,109_114,125,90,Touch,,,,
6/4/2023 2:45:02 PM,109_114,125,91,Touch,,,,
6/4/2023 2:45:03 PM,109_114,111,110,Touch,,,,
6/4/2023 2:45:03 PM,109_114,111,109,Hit,4.653911,,,
6/4/2023 2:45:03 PM,3_114,111,109,Generate,,,,
6/4/2023 2:45:03 PM,3_114,111,109,Touch,,,,
6/4/2023 2:45:03 PM,3_114,95,109,Touch,,,,
6/4/2023 2:45:04 PM,3_114,9,3,Hit,1.444334,,,
6/4/2023 2:45:04 PM,68_114,9,3,Generate,,,,
6/4/2023 2:45:04 PM,68_114,8,3,Touch,,,,
