Participant,T1,T2,T3,T4,T5,T6
user6,2.512424,15.03552,1.029092,1.300766,6.084763,1.354103
,0.8009377,1.200498,5.37539,1.606676,0.9998238,1.268153
,0.7664138,0.5109853,2.431864,1.190275,7.296558,1.032979
,1.110231,17.25928,1.466642,1.541229,1.133246,3.87586
,1.566273,0.9659182,0.4329853,1.088257,0.9442438,1.454784
,0.9336123,1.689349,0.7328449,2.043769,0.6547872,1.266311
,1.799108,0.7996277,1.433796,0.8443635,0.8765025,1.577977
,0.5992615,0.6446334,0.8659237,1.498938,1.255299,1.765579
,0.5339261,8.997324,1.399094,0.6452324,0.5229127,0.7663217
,11.03617,,1.200441,0.7435821,0.7436997,2.611618
,0.5989482,,0.7105545,2.322181,5.299697,1.576344
,1.366025,,0.6663117,2.166101,2.85503,0.5333893
,0.7995261,,1.066066,1.587739,0.2107115,2.321607
,0.8998101,,0.8328898,0.6664388,6.065268,5.343751
,2.509001,,3.898976,0.6889961,0.8106738,1.510476
,0.700802,,1.433284,0.7657599,0.5439321,1.300302
,1.699182,,0.6667869,1.244183,1.632656,1.563961
,0.5219367,,0.8661959,0.9999479,1.921767,16.71697
,0.611567,,0.866114,0.9446263,0.6777968,1.544392
,1.466671,,,1.066969,0.5774866,2.733571
,1.810098,,,0.8098112,1.665799,1.376981
,1.133538,,,0.8774023,0.8670366,
,1.132489,,,3.644862,1.254719,
,0.666865,,,1.333191,1.67779,
,1.19922,,,1.609696,10.41846,
,0.599607,,,1.599289,1.4988,
,0.4664319,,,1.122321,,
,1.699888,,,0.8333576,,
,,,,0.8701643,,
,,,,0.8953711,,
,,,,1.366561,,
,,,,2.587761,,
,,,,0.1555953,,
,,,,0.6435245,,
,,,,2.266147,,
,,,,1.83283,,
,,,,1.221134,,
