Timestamp,ActiveCells,RightProjectionCell,LeftProjectionCell,Action,TimeToHit,LostTrackOfLeft,LostTrackOfRight
6/2/2023 2:52:41 PM,36_36,74,68,Generate,,,,
6/2/2023 2:52:41 PM,36_111,74,68,Generate,,,,
6/2/2023 2:52:42 PM,36_111,44,36,Hit,0.9910163,,,
6/2/2023 2:52:42 PM,60_111,44,36,Generate,,,,
6/2/2023 2:52:43 PM,60_111,77,37,Touch,,,,
6/2/2023 2:52:44 PM,60_111,60,37,Hit,1.333284,,,
6/2/2023 2:52:44 PM,7_111,60,37,Generate,,,,
6/2/2023 2:52:44 PM,7_111,60,37,Touch,,,,
6/2/2023 2:52:44 PM,7_111,93,37,Touch,,,,
6/2/2023 2:52:45 PM,7_111,111,23,Hit,3.240729,,,
6/2/2023 2:52:45 PM,7_55,111,23,Generate,,,,
6/2/2023 2:52:45 PM,7_55,111,23,Touch,,,,
6/2/2023 2:52:45 PM,7_55,111,23,Touch,,,,
6/2/2023 2:52:45 PM,7_55,111,23,Touch,,,,
6/2/2023 2:52:45 PM,7_55,110,22,Touch,,,,
6/2/2023 2:52:45 PM,7_55,111,6,Touch,,,,
6/2/2023 2:52:46 PM,7_55,111,7,Hit,1.867457,,,
6/2/2023 2:52:46 PM,55_142,111,7,Generate,,,,
6/2/2023 2:52:46 PM,55_142,110,39,Touch,,,,
6/2/2023 2:52:47 PM,55_142,110,55,Hit,2.477942,,,
6/2/2023 2:52:47 PM,73_142,110,55,Generate,,,,
6/2/2023 2:52:47 PM,73_142,110,55,Touch,,,,
6/2/2023 2:52:48 PM,73_142,109,73,Hit,1.021702,,,
6/2/2023 2:52:48 PM,72_142,109,73,Generate,,,,
6/2/2023 2:52:48 PM,72_142,109,73,Touch,,,,
6/2/2023 2:52:49 PM,72_142,109,71,Touch,,,,
6/2/2023 2:52:49 PM,72_142,109,71,Touch,,,,
6/2/2023 2:52:50 PM,72_142,109,71,Touch,,,,
6/2/2023 2:52:50 PM,72_142,109,71,Touch,,,,
6/2/2023 2:52:50 PM,72_142,109,71,Touch,,,,
6/2/2023 2:52:51 PM,72_142,88,18,Touch,,,,
6/2/2023 2:52:51 PM,72_142,56,18,Touch,,,,
6/2/2023 2:52:52 PM,72_142,72,18,Hit,3.532033,,,
6/2/2023 2:52:52 PM,121_142,72,18,Generate,,,,
6/2/2023 2:52:52 PM,121_142,88,18,Touch,,,,
6/2/2023 2:52:52 PM,121_142,89,19,Touch,,,,
6/2/2023 2:52:53 PM,121_142,105,19,Touch,,,,
6/2/2023 2:52:53 PM,121_142,105,19,Touch,,,,
6/2/2023 2:52:53 PM,121_142,105,35,Touch,,,,
6/2/2023 2:52:53 PM,121_142,105,19,Touch,,,,
6/2/2023 2:52:54 PM,121_142,105,19,Touch,,,,
6/2/2023 2:52:54 PM,121_142,105,19,Touch,,,,
6/2/2023 2:52:54 PM,121_142,-1,19,Touch,,,,
6/2/2023 2:52:54 PM,121_142,121,19,Hit,2.766089,,,
6/2/2023 2:52:54 PM,62_142,121,19,Generate,,,,
6/2/2023 2:52:56 PM,62_142,12,126,Touch,,,,
6/2/2023 2:52:56 PM,62_142,12,142,Hit,10.68562,,,
6/2/2023 2:52:56 PM,57_62,12,142,Generate,,,,
6/2/2023 2:52:57 PM,57_62,63,22,Touch,,,,
6/2/2023 2:52:57 PM,57_62,62,23,Hit,3.1101,,,
6/2/2023 2:52:57 PM,57_115,62,23,Generate,,,,
6/2/2023 2:52:58 PM,57_115,62,23,Touch,,,,
6/2/2023 2:52:59 PM,57_115,45,57,Hit,3.089258,,,
6/2/2023 2:52:59 PM,71_115,45,57,Generate,,,,
6/2/2023 2:52:59 PM,71_115,45,57,Touch,,,,
6/2/2023 2:52:59 PM,71_115,45,57,Touch,,,,
6/2/2023 2:52:59 PM,71_115,45,57,Touch,,,,
6/2/2023 2:53:00 PM,71_115,26,71,Hit,1.097872,,,
6/2/2023 2:53:00 PM,6_115,26,71,Generate,,,,
6/2/2023 2:53:01 PM,6_115,26,71,Touch,,,,
6/2/2023 2:53:02 PM,6_115,43,6,Hit,2.077757,,,
6/2/2023 2:53:02 PM,115_142,43,6,Generate,,,,
6/2/2023 2:53:02 PM,115_142,43,6,Touch,,,,
6/2/2023 2:53:03 PM,115_142,27,22,Touch,,,,
