Timestamp,ActiveCells,RightProjectionCell,LeftProjectionCell,Action,TimeToHit,LostTrackOfLeft,LostTrackOfRight
6/2/2023 2:54:26 PM,33_33,20,14,Generate,,,,
6/2/2023 2:54:26 PM,33_51,20,14,Generate,,,,
6/2/2023 2:54:28 PM,33_51,33,14,Hit,1.821117,,,
6/2/2023 2:54:28 PM,12_51,33,14,Generate,,,,
6/2/2023 2:54:29 PM,12_51,51,14,Hit,2.676515,,,
6/2/2023 2:54:29 PM,12_31,51,14,Generate,,,,
6/2/2023 2:54:30 PM,12_31,40,14,Touch,,,,
6/2/2023 2:54:31 PM,12_31,22,14,Touch,,,,
6/2/2023 2:54:31 PM,12_31,31,14,Hit,1.843438,,,
6/2/2023 2:54:31 PM,12_14,31,14,Generate,,,,
6/2/2023 2:54:31 PM,12_14,31,14,Touch,,,,
6/2/2023 2:54:32 PM,12_14,12,14,Hit,4.032497,,,
6/2/2023 2:54:32 PM,14_38,12,14,Generate,,,,
6/2/2023 2:54:33 PM,14_38,14,14,Hit,2.243756,,,
6/2/2023 2:54:33 PM,38_44,14,14,Generate,,,,
6/2/2023 2:54:34 PM,38_44,29,14,Touch,,,,
6/2/2023 2:54:34 PM,38_44,38,14,Hit,2.155431,,,
6/2/2023 2:54:34 PM,33_44,38,14,Generate,,,,
6/2/2023 2:54:35 PM,33_44,33,14,Hit,1.043597,,,
6/2/2023 2:54:35 PM,21_44,33,14,Generate,,,,
6/2/2023 2:54:36 PM,21_44,24,14,Touch,,,,
6/2/2023 2:54:36 PM,21_44,35,14,Touch,,,,
6/2/2023 2:54:38 PM,21_44,44,14,Hit,4.499007,,,
6/2/2023 2:54:38 PM,0_21,44,14,Generate,,,,
6/2/2023 2:54:39 PM,0_21,21,14,Hit,3.232464,,,
6/2/2023 2:54:39 PM,0_38,21,14,Generate,,,,
6/2/2023 2:54:39 PM,0_38,30,14,Touch,,,,
6/2/2023 2:54:40 PM,0_38,29,14,Touch,,,,
6/2/2023 2:54:41 PM,0_38,38,14,Hit,1.931743,,,
6/2/2023 2:54:41 PM,0_44,38,14,Generate,,,,
6/2/2023 2:54:42 PM,0_44,1,14,Touch,,,,
6/2/2023 2:54:43 PM,0_44,10,14,Touch,,,,
6/2/2023 2:54:43 PM,0_44,2,11,Touch,,,,
6/2/2023 2:54:44 PM,0_44,2,2,Touch,,,,
6/2/2023 2:54:44 PM,0_44,17,2,Touch,,,,
6/2/2023 2:54:45 PM,0_44,43,3,Touch,,,,
6/2/2023 2:54:45 PM,0_44,44,3,Hit,4.221404,,,
6/2/2023 2:54:45 PM,0_19,44,3,Generate,,,,
6/2/2023 2:54:45 PM,0_19,-1,3,Touch,,,,
6/2/2023 2:54:47 PM,0_19,11,2,Touch,,,,
6/2/2023 2:54:47 PM,0_19,19,2,Hit,2.088598,,,
6/2/2023 2:54:47 PM,0_15,19,2,Generate,,,,
6/2/2023 2:54:48 PM,0_15,15,-1,Hit,1.00008,,,
6/2/2023 2:54:48 PM,0_40,15,-1,Generate,,,,
6/2/2023 2:54:48 PM,0_40,15,2,Touch,,,,
6/2/2023 2:54:49 PM,0_40,40,1,Hit,1.266639,,,
6/2/2023 2:54:49 PM,0_33,40,1,Generate,,,,
6/2/2023 2:54:50 PM,0_33,33,1,Hit,0.6880784,,,
6/2/2023 2:54:50 PM,0_12,33,1,Generate,,,,
6/2/2023 2:54:51 PM,0_12,12,1,Touch,,,,
6/2/2023 2:54:51 PM,0_12,12,1,Touch,,,,
6/2/2023 2:54:52 PM,0_12,12,1,Touch,,,,
6/2/2023 2:54:52 PM,0_12,12,1,Touch,,,,
6/2/2023 2:54:53 PM,0_12,12,1,Touch,,,,
6/2/2023 2:54:53 PM,0_12,12,1,Touch,,,,
6/2/2023 2:54:53 PM,0_12,12,1,Touch,,,,
6/2/2023 2:54:54 PM,0_12,12,1,Touch,,,,
6/2/2023 2:54:54 PM,0_12,12,2,Touch,,,,
6/2/2023 2:54:54 PM,0_12,12,1,Touch,,,,
6/2/2023 2:54:55 PM,0_12,12,1,Touch,,,,
6/2/2023 2:54:55 PM,0_12,12,1,Touch,,,,
6/2/2023 2:54:55 PM,0_12,12,1,Touch,,,,
6/2/2023 2:54:55 PM,0_12,12,1,Touch,,,,
6/2/2023 2:54:56 PM,0_12,3,1,Touch,,,,
6/2/2023 2:54:56 PM,0_12,4,12,Hit,6.35339,,,
6/2/2023 2:54:56 PM,0_50,4,12,Generate,,,,
