Timestamp,ActiveCells,RightProjectionCell,LeftProjectionCell,Action,TimeToHit,LostTrackOfLeft,LostTrackOfRight
6/6/2023 4:34:41 PM,14_14,-1,-1,Generate,,,,
6/6/2023 4:34:41 PM,14_27,-1,-1,Generate,,,,
6/6/2023 4:34:43 PM,14_27,14,-1,Hit,1.857781,,,
6/6/2023 4:34:43 PM,16_27,14,-1,Generate,,,,
6/6/2023 4:34:44 PM,16_27,16,-1,Hit,1.346527,,,
6/6/2023 4:34:44 PM,24_27,16,-1,Generate,,,,
6/6/2023 4:34:45 PM,24_27,24,-1,Hit,1.366215,,,
6/6/2023 4:34:45 PM,3_27,24,-1,Generate,,,,
6/6/2023 4:34:46 PM,3_27,24,-1,Touch,,,,
6/6/2023 4:34:46 PM,3_27,3,-1,Hit,0.9994532,,,
6/6/2023 4:34:46 PM,27_52,3,-1,Generate,,,,
6/6/2023 4:34:48 PM,27_52,52,-1,Hit,1.244542,,,
6/6/2023 4:34:48 PM,9_27,52,-1,Generate,,,,
6/6/2023 4:34:48 PM,9_27,42,27,Hit,7.597797,,,
6/6/2023 4:34:48 PM,9_37,42,27,Generate,,,,
6/6/2023 4:34:49 PM,9_37,42,27,Touch,,,,
6/6/2023 4:34:49 PM,9_37,42,37,Hit,0.9884747,,,
6/6/2023 4:34:49 PM,9_42,42,37,Generate,,,,
6/6/2023 4:34:50 PM,9_42,42,9,Hit,2.542379,,,
6/6/2023 4:34:50 PM,1_42,42,9,Generate,,,,
6/6/2023 4:34:51 PM,1_42,42,1,Hit,1.721014,,,
6/6/2023 4:34:51 PM,1_4,42,1,Generate,,,,
6/6/2023 4:34:52 PM,1_4,33,1,Hit,1.799355,,,
6/6/2023 4:34:52 PM,4_30,33,1,Generate,,,,
6/6/2023 4:34:53 PM,4_30,4,10,Hit,1.710799,,,
6/6/2023 4:34:53 PM,19_30,4,10,Generate,,,,
6/6/2023 4:34:54 PM,19_30,13,30,Hit,1.844917,,,
6/6/2023 4:34:54 PM,14_19,13,30,Generate,,,,
6/6/2023 4:34:55 PM,14_19,14,19,Hit,2.199171,,,
6/6/2023 4:34:55 PM,14_17,14,19,Generate,,,,
6/6/2023 4:34:55 PM,14_17,14,19,Hit,1.676535,,,
6/6/2023 4:34:55 PM,17_41,14,19,Generate,,,,
6/6/2023 4:34:56 PM,17_41,17,20,Hit,1.311679,,,
6/6/2023 4:34:56 PM,20_41,17,20,Generate,,,,
6/6/2023 4:34:57 PM,20_41,41,20,Hit,2.088841,,,
6/6/2023 4:34:57 PM,20_27,41,20,Generate,,,,
6/6/2023 4:34:58 PM,20_27,41,19,Touch,,,,
6/6/2023 4:34:58 PM,20_27,41,20,Hit,2.154983,,,
6/6/2023 4:34:58 PM,27_45,41,20,Generate,,,,
6/6/2023 4:34:59 PM,27_45,40,27,Hit,1.666189,,,
6/6/2023 4:34:59 PM,39_45,40,27,Generate,,,,
6/6/2023 4:35:02 PM,39_45,30,45,Touch,,,,
6/6/2023 4:35:02 PM,39_45,39,45,Hit,2.890288,,,
6/6/2023 4:35:02 PM,34_45,39,45,Generate,,,,
6/6/2023 4:35:02 PM,34_45,39,45,Touch,,,,
6/6/2023 4:35:08 PM,34_45,34,29,Touch,,,,
6/6/2023 4:35:08 PM,34_45,34,29,Touch,,,,
6/6/2023 4:35:08 PM,34_45,34,29,Hit,5.52893,,,
6/6/2023 4:35:08 PM,23_45,34,29,Generate,,,,
6/6/2023 4:35:08 PM,23_45,34,29,Touch,,,,
6/6/2023 4:35:08 PM,23_45,34,29,Touch,,,,
6/6/2023 4:35:08 PM,23_45,34,29,Touch,,,,
6/6/2023 4:35:08 PM,23_45,34,29,Touch,,,,
6/6/2023 4:35:08 PM,23_45,34,29,Touch,,,,
6/6/2023 4:35:08 PM,23_45,34,28,Touch,,,,
6/6/2023 4:35:08 PM,23_45,34,28,Touch,,,,
6/6/2023 4:35:08 PM,23_45,34,28,Touch,,,,
6/6/2023 4:35:08 PM,23_45,34,28,Touch,,,,
6/6/2023 4:35:08 PM,23_45,34,28,Touch,,,,
