Timestamp,ActiveCells,RightProjectionCell,LeftProjectionCell,Action,TimeToHit,LostTrackOfLeft,LostTrackOfRight
6/3/2023 1:46:12 PM,10_10,17,6,Generate,,,,
6/3/2023 1:46:12 PM,10_18,17,6,Generate,,,,
6/3/2023 1:46:14 PM,10_18,10,18,Hit,1.988113,,,
6/3/2023 1:46:14 PM,1_10,10,18,Generate,,,,
6/3/2023 1:46:14 PM,1_10,10,18,Hit,2.024114,,,
6/3/2023 1:46:14 PM,1_6,10,18,Generate,,,,
6/3/2023 1:46:14 PM,1_6,10,18,Touch,,,,
6/3/2023 1:46:14 PM,1_6,10,18,Touch,,,,
6/3/2023 1:46:14 PM,1_6,10,18,Touch,,,,
6/3/2023 1:46:14 PM,1_6,10,18,Touch,,,,
6/3/2023 1:46:14 PM,1_6,10,18,Touch,,,,
6/3/2023 1:46:14 PM,1_6,10,6,Hit,0.8354006,,,
6/3/2023 1:46:14 PM,1_3,10,6,Generate,,,,
6/3/2023 1:46:15 PM,1_3,10,6,Touch,,,,
6/3/2023 1:46:15 PM,1_3,2,6,Touch,,,,
6/3/2023 1:46:29 PM,1_3,3,1,Hit,14.1393,,,
6/3/2023 1:46:29 PM,1_19,3,1,Generate,,,,
6/3/2023 1:46:29 PM,1_19,3,1,Hit,15.00956,,,
6/3/2023 1:46:29 PM,18_19,3,1,Generate,,,,
6/3/2023 1:46:29 PM,18_19,3,1,Touch,,,,
6/3/2023 1:46:30 PM,18_19,19,18,Hit,1.254648,,,
6/3/2023 1:46:30 PM,18_19,19,18,Generate,,,,
6/3/2023 1:46:30 PM,18_19,19,18,Hit,1.254434,,,
6/3/2023 1:46:30 PM,9_19,19,18,Generate,,,,
6/3/2023 1:46:30 PM,9_19,19,18,Hit,0.2452527,,,
6/3/2023 1:46:30 PM,9_10,19,18,Generate,,,,
6/3/2023 1:46:30 PM,9_10,19,18,Touch,,,,
6/3/2023 1:46:31 PM,9_10,10,9,Hit,0.9114752,,,
6/3/2023 1:46:31 PM,4_9,10,9,Generate,,,,
6/3/2023 1:46:31 PM,4_9,10,9,Hit,1.157484,,,
6/3/2023 1:46:31 PM,4_11,10,9,Generate,,,,
6/3/2023 1:46:31 PM,4_11,10,9,Touch,,,,
6/3/2023 1:46:31 PM,4_11,10,9,Touch,,,,
6/3/2023 1:46:32 PM,4_11,11,4,Hit,0.6971039,,,
6/3/2023 1:46:32 PM,4_22,11,4,Generate,,,,
6/3/2023 1:46:32 PM,4_22,11,4,Hit,0.7203693,,,
6/3/2023 1:46:32 PM,13_22,11,4,Generate,,,,
6/3/2023 1:46:32 PM,13_22,11,4,Touch,,,,
6/3/2023 1:46:32 PM,13_22,11,4,Touch,,,,
6/3/2023 1:46:32 PM,13_22,11,4,Touch,,,,
6/3/2023 1:46:33 PM,13_22,22,13,Hit,0.8787124,,,
6/3/2023 1:46:33 PM,5_13,22,13,Generate,,,,
6/3/2023 1:46:33 PM,5_13,22,13,Hit,0.8788741,,,
6/3/2023 1:46:33 PM,5_9,22,13,Generate,,,,
6/3/2023 1:46:33 PM,5_9,22,13,Touch,,,,
6/3/2023 1:46:33 PM,5_9,22,13,Touch,,,,
6/3/2023 1:46:34 PM,5_9,5,9,Hit,0.9550974,,,
6/3/2023 1:46:34 PM,9_16,5,9,Generate,,,,
6/3/2023 1:46:34 PM,9_16,5,9,Hit,0.9549757,,,
6/3/2023 1:46:34 PM,10_16,5,9,Generate,,,,
6/3/2023 1:46:34 PM,10_16,5,9,Touch,,,,
6/3/2023 1:46:34 PM,10_16,5,9,Touch,,,,
6/3/2023 1:46:34 PM,10_16,16,10,Hit,0.8877417,,,
6/3/2023 1:46:34 PM,10_17,16,10,Generate,,,,
6/3/2023 1:46:34 PM,10_17,16,10,Hit,0.8885674,,,
6/3/2023 1:46:34 PM,17_19,16,10,Generate,,,,
6/3/2023 1:46:35 PM,17_19,16,10,Touch,,,,
6/3/2023 1:46:35 PM,17_19,16,10,Touch,,,,
6/3/2023 1:46:35 PM,17_19,17,15,Hit,0.7448891,,,
6/3/2023 1:46:35 PM,9_19,17,15,Generate,,,,
6/3/2023 1:46:36 PM,9_19,17,19,Hit,1.121347,,,
6/3/2023 1:46:36 PM,6_9,17,19,Generate,,,,
6/3/2023 1:46:36 PM,6_9,17,19,Touch,,,,
6/3/2023 1:46:36 PM,6_9,10,19,Touch,,,,
6/3/2023 1:46:36 PM,6_9,9,13,Hit,1.177036,,,
6/3/2023 1:46:36 PM,6_16,9,13,Generate,,,,
6/3/2023 1:46:37 PM,6_16,9,7,Touch,,,,
6/3/2023 1:46:37 PM,6_16,9,7,Touch,,,,
6/3/2023 1:46:37 PM,6_16,9,6,Hit,1.444412,,,
6/3/2023 1:46:37 PM,16_22,9,6,Generate,,,,
6/3/2023 1:46:37 PM,16_22,16,7,Touch,,,,
6/3/2023 1:46:38 PM,16_22,16,6,Hit,1.166832,,,
6/3/2023 1:46:38 PM,3_22,16,6,Generate,,,,
6/3/2023 1:46:38 PM,3_22,16,6,Touch,,,,
6/3/2023 1:46:38 PM,3_22,16,14,Touch,,,,
6/3/2023 1:46:39 PM,3_22,10,22,Hit,1.667359,,,
6/3/2023 1:46:39 PM,3_13,10,22,Generate,,,,
6/3/2023 1:46:39 PM,3_13,10,22,Touch,,,,
6/3/2023 1:46:39 PM,3_13,3,22,Hit,1.84433,,,
6/3/2023 1:46:39 PM,13_17,3,22,Generate,,,,
6/3/2023 1:46:40 PM,13_17,3,21,Touch,,,,
6/3/2023 1:46:40 PM,13_17,3,13,Hit,1.298788,,,
6/3/2023 1:46:40 PM,2_17,3,13,Generate,,,,
6/3/2023 1:46:40 PM,2_17,3,13,Touch,,,,
6/3/2023 1:46:40 PM,2_17,10,13,Touch,,,,
6/3/2023 1:46:41 PM,2_17,11,13,Touch,,,,
6/3/2023 1:46:41 PM,2_17,17,8,Hit,1.599708,,,
6/3/2023 1:46:41 PM,2_17,17,8,Generate,,,,
6/3/2023 1:46:41 PM,2_17,17,2,Hit,1.276588,,,
6/3/2023 1:46:41 PM,1_17,17,2,Generate,,,,
6/3/2023 1:46:42 PM,1_17,17,2,Touch,,,,
