Timestamp,ActiveCells,RightProjectionCell,LeftProjectionCell,Action,TimeToHit,LostTrackOfLeft,LostTrackOfRight
6/3/2023 5:06:17 PM,22_22,-1,-1,Generate,,,,
6/3/2023 5:06:17 PM,4_22,-1,-1,Generate,,,,
6/3/2023 5:06:18 PM,4_22,22,-1,Hit,1.236149,,,
6/3/2023 5:06:18 PM,4_7,22,-1,Generate,,,,
6/3/2023 5:06:18 PM,4_7,6,-1,Touch,,,,
6/3/2023 5:06:19 PM,4_7,7,-1,Touch,,,,
6/3/2023 5:06:20 PM,4_7,7,-1,Touch,,,,
6/3/2023 5:06:20 PM,4_7,7,-1,Touch,,,,
6/3/2023 5:06:22 PM,4_7,7,4,Hit,5.266461,,,
6/3/2023 5:06:22 PM,7_40,7,4,Generate,,,,
6/3/2023 5:06:22 PM,7_40,7,4,Touch,,,,
6/3/2023 5:06:22 PM,7_40,7,4,Touch,,,,
6/3/2023 5:06:22 PM,7_40,7,4,Touch,,,,
6/3/2023 5:06:22 PM,7_40,7,4,Touch,,,,
6/3/2023 5:06:24 PM,7_40,7,31,Touch,,,,
6/3/2023 5:06:24 PM,7_40,7,31,Touch,,,,
6/3/2023 5:06:25 PM,7_40,7,49,Touch,,,,
6/3/2023 5:06:25 PM,7_40,7,40,Hit,3.576935,,,
6/3/2023 5:06:25 PM,7_51,7,40,Generate,,,,
6/3/2023 5:06:27 PM,,7,51,LostTrack,,1,
6/3/2023 5:06:28 PM,7_51,7,51,Hit,2.06619,,,
6/3/2023 5:06:28 PM,7_9,7,51,Generate,,,,
6/3/2023 5:06:28 PM,7_9,7,51,Touch,,,,
6/3/2023 5:06:28 PM,7_9,7,51,Touch,,,,
6/3/2023 5:06:29 PM,7_9,7,51,Touch,,,,
6/3/2023 5:06:29 PM,7_9,7,51,Touch,,,,
6/3/2023 5:06:29 PM,7_9,7,51,Touch,,,,
6/3/2023 5:06:30 PM,7_9,-1,7,Hit,11.73331,,,
6/3/2023 5:06:30 PM,9_15,-1,7,Generate,,,,
6/3/2023 5:06:30 PM,9_15,-1,16,Touch,,,,
6/3/2023 5:06:30 PM,9_15,-1,15,Hit,0.864764,,,
6/3/2023 5:06:30 PM,9_39,-1,15,Generate,,,,
6/3/2023 5:06:31 PM,9_39,-1,15,Touch,,,,
6/3/2023 5:06:32 PM,9_39,-1,39,Hit,1.222411,,,
6/3/2023 5:06:32 PM,9_48,-1,39,Generate,,,,
6/3/2023 5:06:32 PM,9_48,-1,48,Hit,0.8443293,,,
6/3/2023 5:06:32 PM,9_28,-1,48,Generate,,,,
6/3/2023 5:06:33 PM,9_28,-1,28,Hit,0.6436888,,,
6/3/2023 5:06:33 PM,4_9,-1,28,Generate,,,,
6/3/2023 5:06:33 PM,4_9,-1,28,Touch,,,,
6/3/2023 5:06:34 PM,4_9,-1,18,Touch,,,,
6/3/2023 5:06:34 PM,4_9,-1,9,Hit,6.842435,,,
6/3/2023 5:06:34 PM,4_30,-1,9,Generate,,,,
6/3/2023 5:06:35 PM,4_30,-1,9,Touch,,,,
6/3/2023 5:06:36 PM,4_30,4,-1,Hit,2.410413,,,
6/3/2023 5:06:36 PM,13_30,4,-1,Generate,,,,
6/3/2023 5:06:36 PM,13_30,4,-1,Touch,,,,
6/3/2023 5:06:36 PM,13_30,13,-1,Hit,0.6995661,,,
6/3/2023 5:06:36 PM,10_30,13,-1,Generate,,,,
6/3/2023 5:06:36 PM,10_30,13,-1,Touch,,,,
6/3/2023 5:06:37 PM,10_30,30,-1,Hit,2.722121,,,
6/3/2023 5:06:37 PM,10_24,30,-1,Generate,,,,
6/3/2023 5:06:38 PM,10_24,24,-1,Hit,0.754327,,,
6/3/2023 5:06:38 PM,10_38,24,-1,Generate,,,,
6/3/2023 5:06:39 PM,10_38,24,10,Touch,,,,
6/3/2023 5:06:39 PM,10_38,23,10,Touch,,,,
6/3/2023 5:06:39 PM,10_38,23,10,Touch,,,,
6/3/2023 5:06:40 PM,10_38,23,10,Touch,,,,
6/3/2023 5:06:40 PM,10_38,23,10,Touch,,,,
6/3/2023 5:06:41 PM,10_38,10,2,Touch,,,,
6/3/2023 5:06:41 PM,10_38,10,2,Touch,,,,
6/3/2023 5:06:41 PM,10_38,10,2,Touch,,,,
6/3/2023 5:06:42 PM,10_38,10,2,Hit,5.398166,,,
6/3/2023 5:06:42 PM,31_38,10,2,Generate,,,,
6/3/2023 5:06:42 PM,31_38,1,2,Touch,,,,
6/3/2023 5:06:43 PM,31_38,38,2,Hit,4.754362,,,
6/3/2023 5:06:43 PM,1_31,38,2,Generate,,,,
6/3/2023 5:06:43 PM,1_31,38,2,Touch,,,,
6/3/2023 5:06:44 PM,1_31,31,2,Hit,1.955894,,,
6/3/2023 5:06:44 PM,1_10,31,2,Generate,,,,
6/3/2023 5:06:44 PM,1_10,31,2,Touch,,,,
6/3/2023 5:06:44 PM,1_10,31,1,Touch,,,,
6/3/2023 5:06:45 PM,1_10,31,1,Touch,,,,
6/3/2023 5:06:45 PM,1_10,31,1,Touch,,,,
6/3/2023 5:06:45 PM,1_10,22,1,Touch,,,,
6/3/2023 5:06:45 PM,1_10,22,1,Touch,,,,
6/3/2023 5:06:46 PM,1_10,22,10,Touch,,,,
6/3/2023 5:06:46 PM,1_10,22,10,Touch,,,,
6/3/2023 5:06:46 PM,1_10,22,10,Touch,,,,
