Timestamp,ActiveCells,RightProjectionCell,LeftProjectionCell,Action,TimeToHit,LostTrackOfLeft,LostTrackOfRight
6/6/2023 4:03:52 PM,9_9,34,-1,Generate,,,,
6/6/2023 4:03:52 PM,9_13,34,-1,Generate,,,,
6/6/2023 4:03:53 PM,9_13,9,-1,Hit,0.9763539,,,
6/6/2023 4:03:53 PM,13_19,9,-1,Generate,,,,
6/6/2023 4:03:53 PM,13_19,13,-1,Hit,1.587536,,,
6/6/2023 4:03:53 PM,2_19,13,-1,Generate,,,,
6/6/2023 4:03:54 PM,2_19,19,-1,Hit,1.054529,,,
6/6/2023 4:03:54 PM,2_10,19,-1,Generate,,,,
6/6/2023 4:03:55 PM,2_10,10,-1,Hit,0.9330308,,,
6/6/2023 4:03:55 PM,2_11,10,-1,Generate,,,,
6/6/2023 4:03:56 PM,2_11,11,-1,Hit,1.000343,,,
6/6/2023 4:03:56 PM,2_18,11,-1,Generate,,,,
6/6/2023 4:03:56 PM,2_18,2,-1,Hit,2.877117,,,
6/6/2023 4:03:56 PM,12_18,2,-1,Generate,,,,
6/6/2023 4:03:57 PM,12_18,12,-1,Hit,0.6327429,,,
6/6/2023 4:03:57 PM,18_21,12,-1,Generate,,,,
6/6/2023 4:03:57 PM,18_21,18,-1,Hit,1.588608,,,
6/6/2023 4:03:57 PM,4_21,18,-1,Generate,,,,
6/6/2023 4:03:58 PM,4_21,21,-1,Hit,1.055966,,,
6/6/2023 4:03:58 PM,4_9,21,-1,Generate,,,,
6/6/2023 4:03:59 PM,4_9,4,-1,Hit,1.531899,,,
6/6/2023 4:03:59 PM,7_9,4,-1,Generate,,,,
6/6/2023 4:04:00 PM,7_9,7,-1,Hit,0.8787913,,,
6/6/2023 4:04:00 PM,1_9,7,-1,Generate,,,,
6/6/2023 4:04:00 PM,1_9,9,-1,Hit,2.24363,,,
6/6/2023 4:04:00 PM,1_5,9,-1,Generate,,,,
6/6/2023 4:04:01 PM,1_5,5,-1,Hit,0.933012,,,
6/6/2023 4:04:01 PM,1_4,5,-1,Generate,,,,
6/6/2023 4:04:02 PM,1_4,1,-1,Hit,1.920929,,,
6/6/2023 4:04:02 PM,4_19,1,-1,Generate,,,,
6/6/2023 4:04:02 PM,4_19,4,-1,Hit,1.010657,,,
6/6/2023 4:04:02 PM,16_19,4,-1,Generate,,,,
6/6/2023 4:04:03 PM,16_19,19,-1,Hit,1.055531,,,
6/6/2023 4:04:03 PM,16_22,19,-1,Generate,,,,
6/6/2023 4:04:03 PM,16_22,16,-1,Hit,1.044547,,,
6/6/2023 4:04:03 PM,3_22,16,-1,Generate,,,,
6/6/2023 4:04:04 PM,3_22,22,-1,Hit,0.86599,,,
6/6/2023 4:04:04 PM,3_4,22,-1,Generate,,,,
6/6/2023 4:04:05 PM,3_4,3,-1,Hit,1.620995,,,
6/6/2023 4:04:05 PM,4_5,3,-1,Generate,,,,
6/6/2023 4:04:06 PM,4_5,5,-1,Hit,0.7338248,,,
6/6/2023 4:04:06 PM,0_4,5,-1,Generate,,,,
6/6/2023 4:04:07 PM,0_4,0,-1,Hit,0.9324425,,,
6/6/2023 4:04:07 PM,4_21,0,-1,Generate,,,,
6/6/2023 4:04:08 PM,4_21,21,-1,Hit,1.055419,,,
6/6/2023 4:04:08 PM,4_19,21,-1,Generate,,,,
6/6/2023 4:04:08 PM,4_19,10,-1,Touch,,,,
6/6/2023 4:04:09 PM,4_19,19,-1,Hit,1.198351,,,
6/6/2023 4:04:09 PM,4_4,19,-1,Generate,,,,
6/6/2023 4:04:09 PM,4_4,4,-1,Hit,0.6669984,,,
6/6/2023 4:04:09 PM,18_18,4,-1,Generate,,,,
6/6/2023 4:04:10 PM,18_18,18,-1,Hit,0.7784963,,,
6/6/2023 4:04:10 PM,1_1,18,-1,Generate,,,,
6/6/2023 4:04:11 PM,1_1,1,-1,Hit,1.187672,,,
6/6/2023 4:04:11 PM,18_18,1,-1,Generate,,,,
6/6/2023 4:04:12 PM,18_18,18,-1,Hit,0.7665247,,,
6/6/2023 4:04:12 PM,12_12,18,-1,Generate,,,,
6/6/2023 4:04:13 PM,12_12,12,-1,Hit,0.5553691,,,
6/6/2023 4:04:13 PM,1_1,12,-1,Generate,,,,
6/6/2023 4:04:14 PM,1_1,1,-1,Hit,1.177786,,,
6/6/2023 4:04:14 PM,12_12,1,-1,Generate,,,,
6/6/2023 4:04:15 PM,12_12,12,-1,Hit,1.310393,,,
6/6/2023 4:04:15 PM,19_19,12,-1,Generate,,,,
6/6/2023 4:04:16 PM,19_19,19,-1,Hit,0.6339771,,,
6/6/2023 4:04:16 PM,16_16,19,-1,Generate,,,,
6/6/2023 4:04:17 PM,16_16,16,-1,Hit,1.109825,,,
6/6/2023 4:04:17 PM,12_12,16,-1,Generate,,,,
6/6/2023 4:04:18 PM,12_12,12,-1,Hit,0.744925,,,
6/6/2023 4:04:18 PM,18_18,12,-1,Generate,,,,
6/6/2023 4:04:18 PM,18_18,18,-1,Hit,0.6775683,,,
6/6/2023 4:04:18 PM,20_20,18,-1,Generate,,,,
6/6/2023 4:04:19 PM,20_20,20,-1,Hit,0.5782122,,,
6/6/2023 4:04:19 PM,6_6,20,-1,Generate,,,,
6/6/2023 4:04:20 PM,6_6,6,-1,Hit,1.298783,,,
6/6/2023 4:04:20 PM,7_7,6,-1,Generate,,,,
6/6/2023 4:04:21 PM,7_7,7,-1,Hit,0.8889229,,,
6/6/2023 4:04:21 PM,5_5,7,-1,Generate,,,,
