Timestamp,ActiveCells,RightProjectionCell,LeftProjectionCell,Action,TimeToHit,LostTrackOfLeft,LostTrackOfRight
6/7/2023 8:50:54 PM,6_6,9,13,Generate,,,,
6/7/2023 8:50:54 PM,6_16,9,14,Generate,,,,
6/7/2023 8:50:55 PM,6_16,14,2,Touch,,,,
6/7/2023 8:50:55 PM,6_16,16,2,Hit,1.0211,,,
6/7/2023 8:50:55 PM,6_7,16,2,Generate,,,,
6/7/2023 8:50:56 PM,6_7,3,6,Hit,2.11004,,,
6/7/2023 8:50:56 PM,7_9,3,6,Generate,,,,
6/7/2023 8:50:57 PM,7_9,7,1,Touch,,,,
6/7/2023 8:50:58 PM,7_9,9,1,Hit,1.522426,,,
6/7/2023 8:50:58 PM,5_7,9,1,Generate,,,,
6/7/2023 8:50:58 PM,5_7,9,1,Touch,,,,
6/7/2023 8:51:00 PM,5_7,11,1,Touch,,,,
6/7/2023 8:51:01 PM,5_7,11,1,Touch,,,,
6/7/2023 8:51:02 PM,5_7,11,1,Touch,,,,
6/7/2023 8:51:03 PM,5_7,5,1,Hit,4.787037,,,
6/7/2023 8:51:03 PM,7_22,5,1,Generate,,,,
6/7/2023 8:51:04 PM,7_22,22,1,Hit,1.133873,,,
6/7/2023 8:51:04 PM,7_20,22,1,Generate,,,,
6/7/2023 8:51:05 PM,7_20,20,1,Hit,0.9981273,,,
6/7/2023 8:51:05 PM,7_7,20,1,Generate,,,,
6/7/2023 8:51:06 PM,7_7,7,1,Hit,0.9450057,,,
6/7/2023 8:51:06 PM,4_4,7,1,Generate,,,,
6/7/2023 8:51:08 PM,4_4,10,1,Touch,,,,
6/7/2023 8:51:10 PM,4_4,16,1,Touch,,,,
6/7/2023 8:51:11 PM,4_4,10,1,Touch,,,,
6/7/2023 8:51:11 PM,4_4,10,1,Touch,,,,
6/7/2023 8:51:13 PM,4_4,10,1,Touch,,,,
6/7/2023 8:51:13 PM,4_4,10,1,Touch,,,,
6/7/2023 8:51:14 PM,4_4,4,1,Hit,7.863916,,,
6/7/2023 8:51:14 PM,2_2,4,1,Generate,,,,
6/7/2023 8:51:20 PM,2_2,8,1,Touch,,,,
6/7/2023 8:51:21 PM,2_2,8,1,Touch,,,,
6/7/2023 8:51:22 PM,2_2,8,1,Touch,,,,
6/7/2023 8:51:22 PM,2_2,8,1,Touch,,,,
6/7/2023 8:51:22 PM,2_2,8,1,Touch,,,,
6/7/2023 8:51:23 PM,2_2,8,1,Touch,,,,
