Timestamp,ActiveCells,RightProjectionCell,LeftProjectionCell,Action,TimeToHit,LostTrackOfLeft,LostTrackOfRight
6/4/2023 5:15:47 PM,27_27,32,5,Generate,,,,
6/4/2023 5:15:47 PM,8_27,32,5,Generate,,,,
6/4/2023 5:15:48 PM,8_27,8,19,Hit,1.198482,,,
6/4/2023 5:15:48 PM,9_27,8,19,Generate,,,,
6/4/2023 5:15:48 PM,9_27,8,18,Touch,,,,
6/4/2023 5:15:49 PM,9_27,7,27,Hit,2.066071,,,
6/4/2023 5:15:49 PM,7_9,7,27,Generate,,,,
6/4/2023 5:15:49 PM,7_9,7,27,Touch,,,,
6/4/2023 5:15:49 PM,7_9,16,9,Hit,1.487195,,,
6/4/2023 5:15:49 PM,7_22,16,9,Generate,,,,
6/4/2023 5:15:50 PM,7_22,7,21,Hit,1.288432,,,
6/4/2023 5:15:50 PM,22_46,7,21,Generate,,,,
6/4/2023 5:15:51 PM,22_46,7,22,Hit,1.133647,,,
6/4/2023 5:15:51 PM,37_46,7,22,Generate,,,,
6/4/2023 5:15:51 PM,37_46,6,46,Hit,1.077239,,,
6/4/2023 5:15:51 PM,37_51,6,46,Generate,,,,
6/4/2023 5:15:52 PM,37_51,6,37,Hit,0.9564971,,,
6/4/2023 5:15:52 PM,15_51,6,37,Generate,,,,
6/4/2023 5:15:52 PM,15_51,51,20,Hit,1.133859,,,
6/4/2023 5:15:52 PM,15_27,51,20,Generate,,,,
6/4/2023 5:15:52 PM,15_27,51,20,Touch,,,,
6/4/2023 5:15:53 PM,15_27,15,19,Hit,1.399241,,,
6/4/2023 5:15:53 PM,27_47,15,19,Generate,,,,
6/4/2023 5:15:53 PM,27_47,15,18,Touch,,,,
6/4/2023 5:15:54 PM,27_47,22,27,Hit,1.266284,,,
6/4/2023 5:15:54 PM,38_47,22,27,Generate,,,,
6/4/2023 5:15:54 PM,38_47,30,27,Touch,,,,
6/4/2023 5:15:54 PM,38_47,38,28,Hit,0.6439206,,,
6/4/2023 5:15:54 PM,45_47,38,28,Generate,,,,
6/4/2023 5:15:54 PM,45_47,29,28,Touch,,,,
6/4/2023 5:15:55 PM,45_47,47,28,Hit,1.777378,,,
6/4/2023 5:15:55 PM,34_45,47,28,Generate,,,,
6/4/2023 5:15:56 PM,34_45,34,45,Hit,1.433523,,,
6/4/2023 5:15:56 PM,14_34,34,45,Generate,,,,
6/4/2023 5:15:56 PM,14_34,34,37,Hit,1.511059,,,
6/4/2023 5:15:56 PM,14_21,34,37,Generate,,,,
6/4/2023 5:15:56 PM,14_21,34,22,Touch,,,,
6/4/2023 5:15:57 PM,14_21,14,21,Hit,1.532908,,,
6/4/2023 5:15:57 PM,21_23,14,21,Generate,,,,
6/4/2023 5:15:57 PM,21_23,14,21,Hit,1.144203,,,
6/4/2023 5:15:57 PM,2_23,14,21,Generate,,,,
6/4/2023 5:15:58 PM,2_23,23,21,Touch,,,,
6/4/2023 5:15:58 PM,2_23,23,12,Hit,0.6656219,,,
6/4/2023 5:15:58 PM,2_8,23,12,Generate,,,,
6/4/2023 5:15:58 PM,2_8,15,2,Hit,0.9880641,,,
6/4/2023 5:15:58 PM,8_45,15,2,Generate,,,,
6/4/2023 5:15:59 PM,8_45,8,2,Hit,0.8448228,,,
6/4/2023 5:15:59 PM,45_49,8,2,Generate,,,,
6/4/2023 5:15:59 PM,45_49,8,27,Touch,,,,
6/4/2023 5:15:59 PM,45_49,32,45,Hit,0.9668413,,,
6/4/2023 5:15:59 PM,34_49,32,45,Generate,,,,
6/4/2023 5:15:59 PM,34_49,39,45,Touch,,,,
6/4/2023 5:16:00 PM,34_49,49,37,Hit,1.232593,,,
6/4/2023 5:16:00 PM,25_34,49,37,Generate,,,,
6/4/2023 5:16:00 PM,25_34,49,38,Touch,,,,
6/4/2023 5:16:01 PM,25_34,34,20,Hit,1.25404,,,
6/4/2023 5:16:01 PM,25_30,34,20,Generate,,,,
6/4/2023 5:16:01 PM,25_30,34,20,Touch,,,,
6/4/2023 5:16:01 PM,25_30,25,20,Hit,1.059897,,,
6/4/2023 5:16:01 PM,30_50,25,20,Generate,,,,
6/4/2023 5:16:02 PM,30_50,50,30,Hit,0.9775394,,,
6/4/2023 5:16:02 PM,20_50,50,30,Generate,,,,
6/4/2023 5:16:02 PM,20_50,50,29,Hit,0.994673,,,
6/4/2023 5:16:02 PM,20_41,50,29,Generate,,,,
6/4/2023 5:16:02 PM,20_41,50,20,Hit,0.6553447,,,
6/4/2023 5:16:02 PM,41_46,50,20,Generate,,,,
6/4/2023 5:16:03 PM,41_46,41,20,Hit,0.5439125,,,
6/4/2023 5:16:03 PM,33_46,41,20,Generate,,,,
6/4/2023 5:16:03 PM,33_46,41,37,Touch,,,,
6/4/2023 5:16:03 PM,33_46,33,46,Hit,0.6449324,,,
6/4/2023 5:16:03 PM,11_46,33,46,Generate,,,,
6/4/2023 5:16:04 PM,11_46,22,11,Hit,0.6658129,,,
6/4/2023 5:16:04 PM,46_48,22,11,Generate,,,,
6/4/2023 5:16:04 PM,46_48,22,11,Touch,,,,
6/4/2023 5:16:05 PM,46_48,39,46,Hit,2.455273,,,
6/4/2023 5:16:05 PM,44_48,39,46,Generate,,,,
6/4/2023 5:16:05 PM,44_48,39,29,Touch,,,,
6/4/2023 5:16:06 PM,44_48,39,3,Touch,,,,
6/4/2023 5:16:06 PM,44_48,48,3,Hit,2.388571,,,
6/4/2023 5:16:06 PM,44_48,48,3,Generate,,,,
6/4/2023 5:16:06 PM,44_48,48,3,Hit,0.2547675,,,
6/4/2023 5:16:06 PM,10_44,48,3,Generate,,,,
6/4/2023 5:16:07 PM,10_44,48,3,Touch,,,,
6/4/2023 5:16:08 PM,10_44,16,10,Hit,1.145101,,,
6/4/2023 5:16:08 PM,21_44,16,10,Generate,,,,
6/4/2023 5:16:08 PM,21_44,34,10,Touch,,,,
6/4/2023 5:16:08 PM,21_44,44,12,Hit,3.609273,,,
6/4/2023 5:16:08 PM,21_45,44,12,Generate,,,,
6/4/2023 5:16:09 PM,21_45,53,21,Touch,,,,
6/4/2023 5:16:09 PM,21_45,43,21,Hit,1.15483,,,
6/4/2023 5:16:09 PM,12_45,43,21,Generate,,,,
6/4/2023 5:16:09 PM,12_45,32,21,Touch,,,,
6/4/2023 5:16:09 PM,12_45,12,36,Touch,,,,
6/4/2023 5:16:09 PM,12_45,12,36,Touch,,,,
6/4/2023 5:16:10 PM,12_45,12,45,Hit,0.9444776,,,
6/4/2023 5:16:10 PM,17_45,12,45,Generate,,,,
6/4/2023 5:16:10 PM,17_45,12,45,Touch,,,,
6/4/2023 5:16:10 PM,17_45,25,45,Hit,2.196751,,,
6/4/2023 5:16:10 PM,0_17,25,45,Generate,,,,
6/4/2023 5:16:11 PM,0_17,26,45,Touch,,,,
6/4/2023 5:16:11 PM,0_17,17,36,Hit,1.232402,,,
6/4/2023 5:16:11 PM,0_16,17,36,Generate,,,,
6/4/2023 5:16:11 PM,0_16,17,9,Touch,,,,
6/4/2023 5:16:11 PM,0_16,16,0,Hit,1.013682,,,
6/4/2023 5:16:11 PM,16_35,16,0,Generate,,,,
6/4/2023 5:16:12 PM,16_35,16,1,Hit,1.045299,,,
6/4/2023 5:16:12 PM,35_46,16,1,Generate,,,,
6/4/2023 5:16:13 PM,35_46,35,28,Hit,1.09995,,,
6/4/2023 5:16:13 PM,34_46,35,28,Generate,,,,
6/4/2023 5:16:13 PM,34_46,34,46,Hit,0.700411,,,
6/4/2023 5:16:13 PM,2_46,34,46,Generate,,,,
6/4/2023 5:16:13 PM,2_46,43,46,Hit,1.420915,,,
6/4/2023 5:16:13 PM,2_23,43,46,Generate,,,,
6/4/2023 5:16:14 PM,2_23,23,2,Hit,0.6561717,,,
6/4/2023 5:16:14 PM,2_9,23,2,Generate,,,,
6/4/2023 5:16:14 PM,2_9,23,2,Hit,0.9893794,,,
6/4/2023 5:16:14 PM,9_25,23,2,Generate,,,,
6/4/2023 5:16:15 PM,9_25,34,9,Touch,,,,
6/4/2023 5:16:15 PM,9_25,25,9,Hit,0.8328298,,,
6/4/2023 5:16:15 PM,5_25,25,9,Generate,,,,
6/4/2023 5:16:15 PM,5_25,25,9,Hit,0.8665823,,,
6/4/2023 5:16:15 PM,5_23,25,9,Generate,,,,
6/4/2023 5:16:15 PM,5_23,25,9,Touch,,,,
6/4/2023 5:16:16 PM,5_23,5,2,Hit,0.6446386,,,
6/4/2023 5:16:16 PM,17_23,5,2,Generate,,,,
6/4/2023 5:16:16 PM,17_23,26,11,Touch,,,,
