Participant,T1,T2,T3,T4,T5,T6
user9,1.030966,2.001038,5.52102,0.9779516,1.380065,1.041673
,1.643636,3.019804,11.32785,1.650937,2.442148,1.986362
,1.122147,1.000486,4.26584,1.366958,2.366634,2.134296
,6.487093,7.864296,1.166212,1.416437,3.0119,1.700216
,1.034611,2.266215,0.8654737,1.320699,2.77691,9.575585
,0.6308546,1.032591,,1.345851,1.921219,1.95523
,0.6009393,0.5998843,,1.369968,0.7432384,1.05499
,0.7663802,1.433451,,1.533232,2.487582,15.05204
,12.91854,3.4988,,1.531976,0.5342615,1.155548
,1.900336,0.8999185,,1.077715,0.6324574,0.7667009
,1.233291,1.56635,,0.8666393,0.68944,4.78637
,1.641398,,,0.9672577,3.48957,1.189025
,1.034227,,,2.56641,1.744246,0.7330394
,0.8106769,,,2.49887,3.098172,0.8545696
,2.49917,,,0.6663622,5.442662,1.133398
,1.699474,,,1.799221,2.088662,
,5.010393,,,1.499502,0.5667967,
,1.122081,,,1.644594,2.365324,
,1.108906,,,1.478015,0.822548,
,,,,1.099089,0.855126,
,,,,2.011577,3.687376,
,,,,0.989037,1.832749,
,,,,1.265355,1.899327,
,,,,1.244108,1.74346,
,,,,2.321618,1.365788,
,,,,1.377711,0.8999005,
,,,,1.221019,2.599203,
,,,,2.731829,1.843891,
,,,,1.145354,1.66603,
,,,,1.189448,0.7341096,
,,,,1.753947,,
,,,,1.710015,,
,,,,2.254585,,
,,,,1.543654,,
,,,,0.8332301,,
,,,,0.860131,,
,,,,0.6949598,,
,,,,0.721822,,
,,,,1.077808,,
,,,,1.078178,,
