Timestamp,ActiveCells,RightProjectionCell,LeftProjectionCell,Action,TimeToHit,LostTrackOfLeft,LostTrackOfRight
6/2/2023 1:20:43 PM,19_19,13,-1,Generate,,,,
6/2/2023 1:20:43 PM,8_19,13,-1,Generate,,,,
6/2/2023 1:20:43 PM,8_19,19,-1,Hit,0.9220989,,,
6/2/2023 1:20:43 PM,8_12,19,-1,Generate,,,,
6/2/2023 1:20:44 PM,8_12,8,-1,Hit,1.454093,,,
6/2/2023 1:20:44 PM,8_12,8,-1,Generate,,,,
6/2/2023 1:20:45 PM,8_12,6,-1,Touch,,,,
6/2/2023 1:20:46 PM,8_12,6,-1,Touch,,,,
6/2/2023 1:20:47 PM,8_12,6,-1,Touch,,,,
6/2/2023 1:20:48 PM,8_12,18,-1,Touch,,,,
6/2/2023 1:20:48 PM,8_12,12,-1,Hit,4.790218,,,
6/2/2023 1:20:48 PM,8_9,12,-1,Generate,,,,
6/2/2023 1:20:49 PM,8_9,8,-1,Hit,5.022779,,,
6/2/2023 1:20:49 PM,9_14,8,-1,Generate,,,,
6/2/2023 1:20:50 PM,9_14,9,-1,Hit,1.43218,,,
6/2/2023 1:20:50 PM,5_14,9,-1,Generate,,,,
6/2/2023 1:20:51 PM,5_14,5,-1,Hit,1.344314,,,
6/2/2023 1:20:51 PM,14_21,5,-1,Generate,,,,
6/2/2023 1:20:52 PM,14_21,14,-1,Hit,2.843053,,,
6/2/2023 1:20:52 PM,0_21,14,-1,Generate,,,,
6/2/2023 1:20:53 PM,0_21,21,-1,Hit,1.877781,,,
6/2/2023 1:20:53 PM,0_12,21,-1,Generate,,,,
6/2/2023 1:20:54 PM,0_12,12,-1,Hit,0.7436965,,,
6/2/2023 1:20:54 PM,0_16,12,-1,Generate,,,,
6/2/2023 1:20:54 PM,0_16,0,-1,Hit,2.331625,,,
6/2/2023 1:20:54 PM,8_16,0,-1,Generate,,,,
6/2/2023 1:20:55 PM,8_16,8,-1,Hit,0.7222079,,,
6/2/2023 1:20:55 PM,14_16,8,-1,Generate,,,,
6/2/2023 1:20:56 PM,14_16,14,-1,Hit,1.54487,,,
6/2/2023 1:20:56 PM,1_16,14,-1,Generate,,,,
6/2/2023 1:20:57 PM,1_16,16,-1,Hit,3.565876,,,
6/2/2023 1:20:57 PM,1_20,16,-1,Generate,,,,
6/2/2023 1:20:58 PM,1_20,7,-1,Touch,,,,
6/2/2023 1:20:58 PM,1_20,1,-1,Hit,1.877287,,,
6/2/2023 1:20:58 PM,3_20,1,-1,Generate,,,,
6/2/2023 1:21:00 PM,3_20,20,-1,Hit,2.422046,,,
6/2/2023 1:21:00 PM,3_9,20,-1,Generate,,,,
6/2/2023 1:21:00 PM,3_9,9,-1,Hit,0.8999719,,,
6/2/2023 1:21:00 PM,3_13,9,-1,Generate,,,,
6/2/2023 1:21:01 PM,3_13,3,-1,Hit,2.754168,,,
6/2/2023 1:21:01 PM,2_13,3,-1,Generate,,,,
6/2/2023 1:21:02 PM,2_13,13,-1,Hit,1.943127,,,
6/2/2023 1:21:02 PM,2_3,13,-1,Generate,,,,
6/2/2023 1:21:03 PM,2_3,2,-1,Hit,2.199868,,,
6/2/2023 1:21:03 PM,3_12,2,-1,Generate,,,,
6/2/2023 1:21:05 PM,3_12,12,-1,Hit,2.199213,,,
6/2/2023 1:21:05 PM,3_16,12,-1,Generate,,,,
6/2/2023 1:21:07 PM,3_16,16,-1,Hit,1.722083,,,
6/2/2023 1:21:07 PM,3_18,16,-1,Generate,,,,
