Timestamp,ActiveCells,RightProjectionCell,LeftProjectionCell,Action,TimeToHit,LostTrackOfLeft,LostTrackOfRight
6/3/2023 5:11:23 PM,11_11,22,-1,Generate,,,,
6/3/2023 5:11:23 PM,11_48,22,-1,Generate,,,,
6/3/2023 5:11:25 PM,11_48,40,11,Hit,1.380065,,,
6/3/2023 5:11:25 PM,16_48,40,11,Generate,,,,
6/3/2023 5:11:25 PM,16_48,40,11,Touch,,,,
6/3/2023 5:11:26 PM,16_48,48,11,Hit,2.442148,,,
6/3/2023 5:11:26 PM,6_16,48,11,Generate,,,,
6/3/2023 5:11:26 PM,6_16,48,11,Touch,,,,
6/3/2023 5:11:27 PM,6_16,16,6,Hit,2.366634,,,
6/3/2023 5:11:27 PM,6_35,16,6,Generate,,,,
6/3/2023 5:11:29 PM,6_35,6,6,Hit,3.0119,,,
6/3/2023 5:11:29 PM,35_52,6,6,Generate,,,,
6/3/2023 5:11:29 PM,35_52,6,6,Touch,,,,
6/3/2023 5:11:29 PM,35_52,6,6,Touch,,,,
6/3/2023 5:11:29 PM,35_52,6,6,Touch,,,,
6/3/2023 5:11:29 PM,35_52,6,6,Touch,,,,
6/3/2023 5:11:30 PM,35_52,35,6,Hit,2.77691,,,
6/3/2023 5:11:30 PM,14_52,35,6,Generate,,,,
6/3/2023 5:11:30 PM,14_52,35,6,Touch,,,,
6/3/2023 5:11:31 PM,14_52,52,6,Hit,1.921219,,,
6/3/2023 5:11:31 PM,14_22,52,6,Generate,,,,
6/3/2023 5:11:31 PM,14_22,52,6,Touch,,,,
6/3/2023 5:11:31 PM,14_22,22,6,Hit,0.7432384,,,
6/3/2023 5:11:31 PM,10_14,22,6,Generate,,,,
6/3/2023 5:11:32 PM,10_14,22,6,Touch,,,,
6/3/2023 5:11:32 PM,10_14,14,6,Hit,2.487582,,,
6/3/2023 5:11:32 PM,10_23,14,6,Generate,,,,
6/3/2023 5:11:32 PM,10_23,14,6,Touch,,,,
6/3/2023 5:11:33 PM,10_23,23,6,Hit,0.5342615,,,
6/3/2023 5:11:33 PM,10_32,23,6,Generate,,,,
6/3/2023 5:11:33 PM,10_32,23,6,Touch,,,,
6/3/2023 5:11:33 PM,10_32,32,6,Hit,0.6324574,,,
6/3/2023 5:11:33 PM,10_34,32,6,Generate,,,,
6/3/2023 5:11:34 PM,10_34,32,6,Touch,,,,
6/3/2023 5:11:34 PM,10_34,34,4,Hit,0.68944,,,
6/3/2023 5:11:34 PM,10_38,34,4,Generate,,,,
6/3/2023 5:11:35 PM,10_38,34,10,Hit,3.48957,,,
6/3/2023 5:11:35 PM,38_45,34,10,Generate,,,,
6/3/2023 5:11:35 PM,38_45,34,10,Touch,,,,
6/3/2023 5:11:36 PM,38_45,34,38,Hit,1.744246,,,
6/3/2023 5:11:36 PM,22_45,34,38,Generate,,,,
6/3/2023 5:11:36 PM,22_45,25,38,Touch,,,,
6/3/2023 5:11:39 PM,22_45,22,45,Hit,3.098172,,,
6/3/2023 5:11:39 PM,18_45,22,45,Generate,,,,
6/3/2023 5:11:39 PM,18_45,22,45,Touch,,,,
6/3/2023 5:11:39 PM,18_45,22,45,Touch,,,,
6/3/2023 5:11:39 PM,18_45,22,45,Touch,,,,
6/3/2023 5:11:39 PM,18_45,22,45,Touch,,,,
6/3/2023 5:11:40 PM,18_45,22,45,Hit,5.442662,,,
6/3/2023 5:11:40 PM,3_18,22,45,Generate,,,,
6/3/2023 5:11:40 PM,3_18,22,45,Touch,,,,
6/3/2023 5:11:41 PM,3_18,12,18,Hit,2.088662,,,
6/3/2023 5:11:41 PM,3_9,12,18,Generate,,,,
6/3/2023 5:11:41 PM,3_9,3,18,Touch,,,,
6/3/2023 5:11:42 PM,3_9,3,9,Hit,0.5667967,,,
6/3/2023 5:11:42 PM,3_17,3,9,Generate,,,,
6/3/2023 5:11:42 PM,3_17,3,9,Touch,,,,
6/3/2023 5:11:43 PM,3_17,3,10,Hit,2.365324,,,
6/3/2023 5:11:43 PM,17_28,3,10,Generate,,,,
6/3/2023 5:11:43 PM,17_28,4,28,Hit,0.822548,,,
6/3/2023 5:11:43 PM,6_17,4,28,Generate,,,,
6/3/2023 5:11:44 PM,6_17,4,28,Touch,,,,
6/3/2023 5:11:44 PM,6_17,6,20,Hit,0.855126,,,
6/3/2023 5:11:44 PM,15_17,6,20,Generate,,,,
6/3/2023 5:11:44 PM,15_17,6,20,Touch,,,,
6/3/2023 5:11:45 PM,15_17,17,20,Hit,3.687376,,,
6/3/2023 5:11:45 PM,15_45,17,20,Generate,,,,
6/3/2023 5:11:45 PM,15_45,17,20,Touch,,,,
6/3/2023 5:11:46 PM,15_45,15,20,Hit,1.832749,,,
6/3/2023 5:11:46 PM,18_45,15,20,Generate,,,,
6/3/2023 5:11:46 PM,18_45,15,20,Touch,,,,
6/3/2023 5:11:47 PM,18_45,5,45,Hit,1.899327,,,
6/3/2023 5:11:47 PM,2_18,5,45,Generate,,,,
6/3/2023 5:11:47 PM,2_18,5,45,Touch,,,,
6/3/2023 5:11:48 PM,2_18,5,18,Hit,1.74346,,,
6/3/2023 5:11:48 PM,2_33,5,18,Generate,,,,
6/3/2023 5:11:48 PM,2_33,5,18,Touch,,,,
6/3/2023 5:11:48 PM,2_33,5,2,Hit,1.365788,,,
6/3/2023 5:11:48 PM,4_33,5,2,Generate,,,,
6/3/2023 5:11:49 PM,4_33,4,3,Hit,0.8999005,,,
6/3/2023 5:11:49 PM,25_33,4,3,Generate,,,,
6/3/2023 5:11:50 PM,25_33,4,3,Touch,,,,
6/3/2023 5:11:50 PM,25_33,33,12,Hit,2.599203,,,
6/3/2023 5:11:50 PM,22_25,33,12,Generate,,,,
6/3/2023 5:11:51 PM,22_25,33,3,Touch,,,,
6/3/2023 5:11:51 PM,22_25,25,12,Hit,1.843891,,,
6/3/2023 5:11:51 PM,22_24,25,12,Generate,,,,
6/3/2023 5:11:51 PM,22_24,25,12,Touch,,,,
6/3/2023 5:11:52 PM,22_24,24,22,Hit,1.66603,,,
6/3/2023 5:11:52 PM,11_24,24,22,Generate,,,,
6/3/2023 5:11:52 PM,11_24,24,22,Touch,,,,
6/3/2023 5:11:53 PM,11_24,24,11,Hit,0.7341096,,,
6/3/2023 5:11:53 PM,24_32,24,11,Generate,,,,
