Participant,T1,T2,T3,T4,T5,T6
user12,19.14184,5.606719,2.130665,0.8865587,0.8981667,1.052084
,1.632412,9.850645,0.9669372,1.721778,1.443358,1.287071
,22.11916,4.921375,10.20667,1.278825,1.320707,1.112093
,1.46675,16.60666,13.34129,1.358452,0.9879411,1.724012
,0.7675209,1.731843,10.33988,1.255482,0.8668534,1.300713
,1.498193,9.718818,3.665442,0.9118101,0.9779239,0.8880652
,2.134419,0.4666193,10.74096,4.00273,1.132908,1.220939
,1.77707,3.576456,,0.7771409,1.788399,0.8332623
,,,,2.610517,1.04419,2.044174
,,,,1.722351,0.8888723,0.7229351
,,,,1.588016,0.9676072,0.8665702
,,,,1.089198,1.454949,1.510791
,,,,2.476393,1.288288,0.9109437
,,,,1.265895,1.412139,2.143152
,,,,0.0110761,1.732414,0.8780308
,,,,1.122531,1.131672,1.398808
,,,,0.9115629,0.9001153,2.620944
,,,,2.465823,1.044265,1.943511
,,,,2.142196,0.8331191,1.645643
,,,,1.721616,1.188929,0.92276
,,,,1.177903,0.8448237,0.6555946
,,,,2.109584,0.8439451,1.443429
,,,,2.198473,0.7330566,2.032718
,,,,1.000606,0.9877148,2.132613
,,,,2.12178,6.853258,2.065213
,,,,1.000409,8.007599,0.6994886
,,,,1.665591,,2.70152
,,,,0.7668841,,1.87698
,,,,0.921734,,2.499661
,,,,0.756242,,0.9328644
,,,,0.8561177,,4.807909
,,,,0.8106637,,1.221903
,,,,0.9325312,,1.58754
,,,,0.8327971,,1.599474
,,,,0.8329055,,1.678606
,,,,0.8777469,,1.800062
,,,,0.8781833,,
,,,,0.8216218,,
,,,,1.044027,,
,,,,0.9113896,,
,,,,1.088275,,
,,,,1.088278,,
,,,,1.377345,,
,,,,1.177121,,
