Timestamp,ActiveCells,RightProjectionCell,LeftProjectionCell,Action,TimeToHit,LostTrackOfLeft,LostTrackOfRight
6/7/2023 9:02:15 PM,37_37,2,13,Generate,,,,
6/7/2023 9:02:15 PM,37_52,2,13,Generate,,,,
6/7/2023 9:02:17 PM,37_52,37,13,Hit,1.264513,,,
6/7/2023 9:02:17 PM,29_52,37,13,Generate,,,,
6/7/2023 9:02:18 PM,29_52,29,13,Hit,0.8889107,,,
6/7/2023 9:02:18 PM,44_52,29,13,Generate,,,,
6/7/2023 9:02:18 PM,44_52,52,13,Hit,2.996023,,,
6/7/2023 9:02:18 PM,1_44,52,13,Generate,,,,
6/7/2023 9:02:19 PM,1_44,44,12,Hit,1.465548,,,
6/7/2023 9:02:19 PM,0_1,44,12,Generate,,,,
6/7/2023 9:02:19 PM,,44,0,LostTrack,,,1
6/7/2023 9:02:20 PM,0_1,44,0,Hit,0.7788107,,,
6/7/2023 9:02:20 PM,1_36,44,0,Generate,,,,
6/7/2023 9:02:20 PM,1_36,0,9,Touch,,,,
6/7/2023 9:02:21 PM,1_36,1,36,Hit,1.409226,,,
6/7/2023 9:02:21 PM,1_41,1,36,Generate,,,,
6/7/2023 9:02:22 PM,1_41,1,9,Hit,3.608346,,,
6/7/2023 9:02:22 PM,18_41,1,9,Generate,,,,
6/7/2023 9:02:23 PM,18_41,50,1,Touch,,,,
6/7/2023 9:02:23 PM,18_41,41,10,Hit,2.099292,,,
6/7/2023 9:02:23 PM,10_18,41,10,Generate,,,,
6/7/2023 9:02:24 PM,10_18,11,18,Hit,2.155902,,,
6/7/2023 9:02:24 PM,10_30,11,18,Generate,,,,
6/7/2023 9:02:25 PM,10_30,1,0,Touch,,,,
6/7/2023 9:02:25 PM,10_30,10,0,Touch,,,,
6/7/2023 9:02:26 PM,10_30,20,10,Hit,2.621391,,,
6/7/2023 9:02:26 PM,6_30,20,10,Generate,,,,
6/7/2023 9:02:27 PM,6_30,30,1,Hit,2.399805,,,
6/7/2023 9:02:27 PM,6_30,30,1,Generate,,,,
6/7/2023 9:02:27 PM,6_30,30,2,Hit,0.6888587,,,
6/7/2023 9:02:27 PM,6_32,30,2,Generate,,,,
6/7/2023 9:02:28 PM,6_32,32,2,Hit,0.8215431,,,
6/7/2023 9:02:28 PM,6_7,32,2,Generate,,,,
6/7/2023 9:02:29 PM,6_7,6,2,Hit,2.955337,,,
6/7/2023 9:02:29 PM,7_25,6,2,Generate,,,,
6/7/2023 9:02:29 PM,7_25,7,2,Hit,1.433221,,,
6/7/2023 9:02:29 PM,18_25,7,2,Generate,,,,
6/7/2023 9:02:30 PM,18_25,25,3,Hit,1.255969,,,
6/7/2023 9:02:30 PM,18_38,25,3,Generate,,,,
6/7/2023 9:02:31 PM,18_38,22,18,Hit,1.444397,,,
6/7/2023 9:02:31 PM,38_45,22,18,Generate,,,,
6/7/2023 9:02:32 PM,38_45,38,9,Hit,1.476706,,,
6/7/2023 9:02:32 PM,6_45,38,9,Generate,,,,
6/7/2023 9:02:32 PM,6_45,20,45,Hit,1.310289,,,
6/7/2023 9:02:32 PM,6_23,20,45,Generate,,,,
6/7/2023 9:02:33 PM,6_23,23,11,Hit,0.8779553,,,
6/7/2023 9:02:33 PM,6_50,23,11,Generate,,,,
6/7/2023 9:02:34 PM,6_50,6,3,Hit,2.666748,,,
6/7/2023 9:02:34 PM,14_50,6,3,Generate,,,,
6/7/2023 9:02:35 PM,14_50,14,2,Hit,0.6766638,,,
6/7/2023 9:02:35 PM,17_50,14,2,Generate,,,,
6/7/2023 9:02:36 PM,17_50,50,2,Hit,2.54376,,,
6/7/2023 9:02:36 PM,17_39,50,2,Generate,,,,
6/7/2023 9:02:37 PM,17_39,8,3,Touch,,,,
6/7/2023 9:02:37 PM,17_39,8,3,Touch,,,,
6/7/2023 9:02:37 PM,17_39,17,3,Hit,2.48789,,,
6/7/2023 9:02:37 PM,12_39,17,3,Generate,,,,
6/7/2023 9:02:38 PM,12_39,14,12,Hit,1.066875,,,
6/7/2023 9:02:38 PM,39_48,14,12,Generate,,,,
6/7/2023 9:02:39 PM,39_48,48,3,Hit,0.6984791,,,
6/7/2023 9:02:39 PM,9_39,48,3,Generate,,,,
6/7/2023 9:02:40 PM,9_39,39,11,Hit,4.131618,,,
6/7/2023 9:02:40 PM,9_13,39,11,Generate,,,,
6/7/2023 9:02:41 PM,9_13,4,9,Hit,1.533659,,,
6/7/2023 9:02:41 PM,13_32,4,9,Generate,,,,
6/7/2023 9:02:41 PM,13_32,13,1,Hit,1.576213,,,
6/7/2023 9:02:41 PM,7_32,13,1,Generate,,,,
6/7/2023 9:02:42 PM,7_32,32,-1,Hit,1.377062,,,
6/7/2023 9:02:42 PM,4_7,32,-1,Generate,,,,
6/7/2023 9:02:43 PM,4_7,7,-1,Hit,1.588643,,,
6/7/2023 9:02:43 PM,4_6,7,-1,Generate,,,,
6/7/2023 9:02:44 PM,4_6,-1,4,Hit,1.587871,,,
6/7/2023 9:02:44 PM,6_45,-1,4,Generate,,,,
6/7/2023 9:02:44 PM,6_45,6,4,Hit,1.299908,,,
6/7/2023 9:02:44 PM,2_45,6,4,Generate,,,,
6/7/2023 9:02:45 PM,2_45,4,45,Hit,1.589857,,,
6/7/2023 9:02:45 PM,2_42,4,45,Generate,,,,
