Participant,T1,T2,T3,T4,T5,T6
user23,0.4706376,2.330594,3.176047,14.78682,0.9203198,1.167184
,0.6968071,0.8002548,7.951334,15.09878,0.9887577,1.765228
,0.6996501,3.7856,4.709613,1.388354,2.831747,0.8223978
,4.65807,2.698756,4.165246,1.821517,1.632594,2.299557
,0.831342,3.921602,1.331902,0.7111385,1.610253,1.643615
,1.300054,1.399104,1.766955,2.088028,0.866877,2.343606
,0.6004742,3.944141,0.8675992,1.51001,2.276947,2.243676
,6.045662,3.199126,18.97258,1.832343,1.233377,3.909784
,0.6989644,3.809106,5.708581,0.8436666,1.366452,1.877007
,1.877932,4.398687,0.7326216,2.666175,1.376698,6.231464
,0.5994071,4.998292,0.9005058,1.62246,1.644438,0.7666453
,3.664899,2.809363,,1.300694,1.500326,1.621722
,2.332536,1.290102,,1.188722,1.31001,0.7219969
,2.81128,13.04089,,1.287591,1.399185,5.821135
,10.96268,1.509672,,1.488565,1.121215,3.321111
,0.710517,,,1.700323,1.254912,2.720567
,,,,1.821181,1.566782,1.700355
,,,,1.465265,1.177832,1.610897
,,,,1.022695,1.35583,1.232593
,,,,0.4549307,1.477003,2.943505
,,,,1.522734,1.421377,1.477314
,,,,1.189004,1.555818,1.553677
,,,,,1.18858,1.388957
,,,,,1.454116,1.366872
,,,,,0.8224921,1.299821
,,,,,2.222064,1.199809
,,,,,1.354107,1.47766
,,,,,1.476786,0.9655599
,,,,,1.344417,
,,,,,2.042707,
,,,,,2.133394,
,,,,,1.655707,
,,,,,1.298939,
,,,,,1.066995,
,,,,,1.110923,
,,,,,1.102852,
,,,,,1.0552,
,,,,,1.084898,
,,,,,1.133537,
,,,,,1.222118,
,,,,,1.255561,
,,,,,1.099827,
