Timestamp,ActiveCells,RightProjectionCell,LeftProjectionCell,Action,TimeToHit,LostTrackOfLeft,LostTrackOfRight
6/2/2023 1:21:43 PM,24_24,40,-1,Generate,,,,
6/2/2023 1:21:43 PM,24_47,40,-1,Generate,,,,
6/2/2023 1:21:44 PM,,40,-1,LostTrack,,1,
6/2/2023 1:21:44 PM,24_47,47,-1,Hit,1.020687,,,
6/2/2023 1:21:44 PM,24_37,47,-1,Generate,,,,
6/2/2023 1:21:46 PM,24_37,24,-1,Hit,2.565245,,,
6/2/2023 1:21:46 PM,12_37,24,-1,Generate,,,,
6/2/2023 1:21:47 PM,12_37,12,-1,Hit,0.8110181,,,
6/2/2023 1:21:47 PM,15_37,12,-1,Generate,,,,
6/2/2023 1:21:48 PM,15_37,28,-1,Touch,,,,
6/2/2023 1:21:48 PM,15_37,28,-1,Touch,,,,
6/2/2023 1:21:49 PM,15_37,46,-1,Touch,,,,
6/2/2023 1:21:49 PM,15_37,37,-1,Hit,5.042729,,,
6/2/2023 1:21:49 PM,15_37,37,-1,Generate,,,,
6/2/2023 1:21:50 PM,15_37,37,-1,Hit,0.3998143,,,
6/2/2023 1:21:50 PM,15_25,37,-1,Generate,,,,
6/2/2023 1:21:51 PM,15_25,15,-1,Hit,4.599186,,,
6/2/2023 1:21:51 PM,25_37,15,-1,Generate,,,,
6/2/2023 1:21:52 PM,25_37,25,-1,Hit,2.056004,,,
6/2/2023 1:21:52 PM,14_37,25,-1,Generate,,,,
6/2/2023 1:21:53 PM,14_37,14,-1,Hit,0.7108113,,,
6/2/2023 1:21:53 PM,12_37,14,-1,Generate,,,,
6/2/2023 1:21:53 PM,12_37,12,-1,Hit,0.698922,,,
6/2/2023 1:21:53 PM,33_37,12,-1,Generate,,,,
6/2/2023 1:21:54 PM,33_37,46,-1,Touch,,,,
6/2/2023 1:21:54 PM,33_37,37,-1,Hit,3.065711,,,
6/2/2023 1:21:54 PM,11_33,37,-1,Generate,,,,
6/2/2023 1:21:56 PM,11_33,11,-1,Hit,1.532176,,,
6/2/2023 1:21:56 PM,32_33,11,-1,Generate,,,,
6/2/2023 1:21:57 PM,32_33,32,-1,Hit,0.6891957,,,
6/2/2023 1:21:57 PM,5_33,32,-1,Generate,,,,
6/2/2023 1:21:57 PM,5_33,33,-1,Hit,3.75482,,,
6/2/2023 1:21:57 PM,5_27,33,-1,Generate,,,,
6/2/2023 1:21:58 PM,5_27,5,-1,Hit,1.033386,,,
6/2/2023 1:21:58 PM,3_27,5,-1,Generate,,,,
6/2/2023 1:21:59 PM,3_27,27,-1,Hit,1.666986,,,
6/2/2023 1:21:59 PM,3_49,27,-1,Generate,,,,
6/2/2023 1:21:59 PM,3_49,3,-1,Hit,1.766427,,,
6/2/2023 1:21:59 PM,42_49,3,-1,Generate,,,,
6/2/2023 1:22:01 PM,42_49,49,-1,Hit,1.920502,,,
6/2/2023 1:22:01 PM,42_52,49,-1,Generate,,,,
6/2/2023 1:22:01 PM,42_52,42,-1,Hit,1.787783,,,
6/2/2023 1:22:01 PM,35_52,42,-1,Generate,,,,
6/2/2023 1:22:02 PM,35_52,52,-1,Hit,1.533672,,,
6/2/2023 1:22:02 PM,9_35,52,-1,Generate,,,,
6/2/2023 1:22:03 PM,9_35,44,-1,Touch,,,,
6/2/2023 1:22:03 PM,9_35,35,-1,Hit,2.033212,,,
6/2/2023 1:22:03 PM,9_31,35,-1,Generate,,,,
6/2/2023 1:22:05 PM,9_31,31,-1,Hit,1.388255,,,
6/2/2023 1:22:05 PM,7_9,31,-1,Generate,,,,
6/2/2023 1:22:05 PM,7_9,9,-1,Hit,3.109497,,,
6/2/2023 1:22:05 PM,7_36,9,-1,Generate,,,,
6/2/2023 1:22:06 PM,7_36,7,-1,Hit,1.298641,,,
6/2/2023 1:22:06 PM,4_36,7,-1,Generate,,,,
6/2/2023 1:22:07 PM,4_36,4,-1,Hit,0.7003598,,,
6/2/2023 1:22:07 PM,14_36,4,-1,Generate,,,,
6/2/2023 1:22:07 PM,14_36,36,-1,Hit,1.944303,,,
6/2/2023 1:22:07 PM,14_28,36,-1,Generate,,,,
6/2/2023 1:22:09 PM,14_28,14,-1,Hit,1.97667,,,
6/2/2023 1:22:09 PM,20_28,14,-1,Generate,,,,
6/2/2023 1:22:09 PM,20_28,20,-1,Hit,0.5668167,,,
6/2/2023 1:22:09 PM,28_37,20,-1,Generate,,,,
6/2/2023 1:22:10 PM,28_37,28,-1,Hit,2.443789,,,
6/2/2023 1:22:10 PM,37_42,28,-1,Generate,,,,
6/2/2023 1:22:10 PM,37_42,37,-1,Hit,0.8329499,,,
6/2/2023 1:22:10 PM,35_42,37,-1,Generate,,,,
6/2/2023 1:22:11 PM,35_42,42,-1,Hit,1.088881,,,
6/2/2023 1:22:11 PM,35_43,42,-1,Generate,,,,
6/2/2023 1:22:11 PM,35_43,35,-1,Hit,1.25591,,,
6/2/2023 1:22:11 PM,43_45,35,-1,Generate,,,,
6/2/2023 1:22:13 PM,43_45,45,-1,Hit,1.243256,,,
6/2/2023 1:22:13 PM,42_43,45,-1,Generate,,,,
