Timestamp,ActiveCells,RightProjectionCell,LeftProjectionCell,Action,TimeToHit,LostTrackOfLeft,LostTrackOfRight
6/1/2023 1:37:11 PM,126_126,58,51,Generate,,,,
6/1/2023 1:37:11 PM,81_126,58,51,Generate,,,,
6/1/2023 1:37:14 PM,81_126,125,-1,Touch,,,,
6/1/2023 1:37:14 PM,81_126,125,-1,Touch,,,,
6/1/2023 1:37:14 PM,81_126,126,-1,Hit,2.663923,,,
6/1/2023 1:37:14 PM,81_140,126,-1,Generate,,,,
6/1/2023 1:37:14 PM,81_140,126,-1,Touch,,,,
6/1/2023 1:37:14 PM,81_140,126,82,Touch,,,,
6/1/2023 1:37:14 PM,81_140,126,82,Touch,,,,
6/1/2023 1:37:14 PM,81_140,126,82,Touch,,,,
6/1/2023 1:37:14 PM,81_140,140,82,Hit,0.6121579,,,
6/1/2023 1:37:14 PM,81_100,140,82,Generate,,,,
6/1/2023 1:37:14 PM,81_100,140,82,Touch,,,,
6/1/2023 1:37:15 PM,81_100,104,81,Hit,3.931365,,,
6/1/2023 1:37:15 PM,62_100,104,81,Generate,,,,
6/1/2023 1:37:15 PM,62_100,100,81,Touch,,,,
6/1/2023 1:37:15 PM,62_100,100,81,Hit,1.165655,,,
6/1/2023 1:37:15 PM,62_124,100,81,Generate,,,,
6/1/2023 1:37:15 PM,62_124,100,81,Touch,,,,
6/1/2023 1:37:16 PM,62_124,100,82,Touch,,,,
6/1/2023 1:37:16 PM,62_124,123,60,Touch,,,,
6/1/2023 1:37:16 PM,62_124,123,45,Touch,,,,
6/1/2023 1:37:16 PM,62_124,123,61,Touch,,,,
6/1/2023 1:37:17 PM,62_124,124,45,Touch,,,,
6/1/2023 1:37:17 PM,62_124,124,45,Hit,1.233122,,,
6/1/2023 1:37:17 PM,18_62,124,45,Generate,,,,
6/1/2023 1:37:17 PM,18_62,124,45,Touch,,,,
6/1/2023 1:37:17 PM,18_62,124,46,Touch,,,,
6/1/2023 1:37:17 PM,18_62,124,46,Touch,,,,
6/1/2023 1:37:20 PM,18_62,62,18,Hit,4.588207,,,
6/1/2023 1:37:20 PM,18_76,62,18,Generate,,,,
6/1/2023 1:37:20 PM,18_76,62,18,Touch,,,,
6/1/2023 1:37:20 PM,18_76,62,18,Touch,,,,
6/1/2023 1:37:20 PM,18_76,62,18,Touch,,,,
6/1/2023 1:37:20 PM,18_76,62,18,Touch,,,,
6/1/2023 1:37:20 PM,18_76,62,18,Touch,,,,
6/1/2023 1:37:20 PM,18_76,62,18,Hit,3.010705,,,
6/1/2023 1:37:20 PM,76_102,62,18,Generate,,,,
6/1/2023 1:37:20 PM,76_102,62,18,Touch,,,,
6/1/2023 1:37:20 PM,76_102,62,18,Touch,,,,
6/1/2023 1:37:20 PM,76_102,62,18,Touch,,,,
6/1/2023 1:37:20 PM,76_102,62,18,Touch,,,,
6/1/2023 1:37:20 PM,76_102,62,18,Touch,,,,
6/1/2023 1:37:20 PM,76_102,77,18,Touch,,,,
6/1/2023 1:37:20 PM,76_102,77,18,Touch,,,,
6/1/2023 1:37:20 PM,76_102,92,18,Touch,,,,
6/1/2023 1:37:20 PM,76_102,92,18,Touch,,,,
6/1/2023 1:37:20 PM,76_102,91,51,Touch,,,,
6/1/2023 1:37:20 PM,76_102,91,51,Touch,,,,
6/1/2023 1:37:20 PM,76_102,76,102,Hit,0.8643623,,,
6/1/2023 1:37:20 PM,95_102,76,102,Generate,,,,
6/1/2023 1:37:20 PM,95_102,76,102,Touch,,,,
6/1/2023 1:37:21 PM,95_102,95,102,Hit,0.721827,,,
6/1/2023 1:37:21 PM,61_102,95,102,Generate,,,,
6/1/2023 1:37:21 PM,61_102,95,102,Touch,,,,
6/1/2023 1:37:21 PM,61_102,95,102,Hit,1.590652,,,
6/1/2023 1:37:21 PM,61_120,95,102,Generate,,,,
6/1/2023 1:37:21 PM,61_120,95,102,Touch,,,,
6/1/2023 1:37:22 PM,61_120,95,102,Touch,,,,
6/1/2023 1:37:22 PM,61_120,45,104,Touch,,,,
6/1/2023 1:37:22 PM,61_120,61,120,Hit,1.108861,,,
6/1/2023 1:37:22 PM,61_138,61,120,Generate,,,,
6/1/2023 1:37:22 PM,61_138,61,120,Hit,1.268861,,,
6/1/2023 1:37:22 PM,79_138,61,120,Generate,,,,
6/1/2023 1:37:23 PM,79_138,62,138,Touch,,,,
6/1/2023 1:37:23 PM,79_138,79,138,Hit,0.9330389,,,
