Timestamp,ActiveCells,RightProjectionCell,LeftProjectionCell,Action,TimeToHit,LostTrackOfLeft,LostTrackOfRight
6/7/2023 8:46:09 PM,33_33,-1,7,Generate,,,,
6/7/2023 8:46:09 PM,33_52,-1,7,Generate,,,,
6/7/2023 8:46:10 PM,33_52,52,7,Hit,1.630231,,,
6/7/2023 8:46:10 PM,9_33,52,7,Generate,,,,
6/7/2023 8:46:11 PM,9_33,33,7,Hit,2.686043,,,
6/7/2023 8:46:11 PM,9_12,33,7,Generate,,,,
6/7/2023 8:46:14 PM,9_12,12,27,Hit,2.665823,,,
6/7/2023 8:46:14 PM,9_15,12,27,Generate,,,,
6/7/2023 8:46:14 PM,9_15,21,27,Touch,,,,
6/7/2023 8:46:16 PM,9_15,16,27,Touch,,,,
6/7/2023 8:46:16 PM,9_15,23,27,Touch,,,,
6/7/2023 8:46:17 PM,9_15,6,27,Touch,,,,
6/7/2023 8:46:18 PM,9_15,15,27,Hit,3.776462,,,
6/7/2023 8:46:18 PM,9_43,15,27,Generate,,,,
6/7/2023 8:46:18 PM,9_43,15,27,Touch,,,,
6/7/2023 8:46:19 PM,9_43,52,27,Touch,,,,
6/7/2023 8:46:20 PM,9_43,43,27,Hit,1.898601,,,
6/7/2023 8:46:20 PM,9_23,43,27,Generate,,,,
6/7/2023 8:46:21 PM,9_23,23,27,Hit,0.9346069,,,
6/7/2023 8:46:21 PM,9_101,23,27,Generate,,,,
6/7/2023 8:46:24 PM,9_101,52,101,Hit,2.998329,,,
6/7/2023 8:46:24 PM,9_54,52,101,Generate,,,,
6/7/2023 8:46:25 PM,9_54,71,54,Touch,,,,
6/7/2023 8:46:26 PM,9_54,-1,55,Touch,,,,
6/7/2023 8:46:26 PM,9_54,71,54,Touch,,,,
6/7/2023 8:46:26 PM,9_54,-1,54,Touch,,,,
6/7/2023 8:46:27 PM,9_54,70,46,Touch,,,,
6/7/2023 8:46:28 PM,9_54,62,54,Touch,,,,
6/7/2023 8:46:28 PM,9_54,71,54,Touch,,,,
6/7/2023 8:46:28 PM,9_54,61,54,Touch,,,,
6/7/2023 8:46:29 PM,9_54,-1,54,Touch,,,,
6/7/2023 8:46:29 PM,9_54,61,54,Touch,,,,
6/7/2023 8:46:31 PM,9_54,70,9,Hit,20.21782,,,
6/7/2023 8:46:31 PM,50_54,70,9,Generate,,,,
6/7/2023 8:46:31 PM,50_54,70,9,Touch,,,,
6/7/2023 8:46:32 PM,50_54,49,18,Touch,,,,
6/7/2023 8:46:32 PM,50_54,50,18,Hit,1.665778,,,
6/7/2023 8:46:32 PM,54_71,50,18,Generate,,,,
6/7/2023 8:46:33 PM,54_71,71,18,Touch,,,,
6/7/2023 8:46:34 PM,54_71,62,18,Touch,,,,
6/7/2023 8:46:36 PM,54_71,-1,18,Touch,,,,
6/7/2023 8:46:37 PM,54_71,-1,18,Touch,,,,
6/7/2023 8:46:37 PM,54_71,-1,18,Touch,,,,
6/7/2023 8:46:38 PM,54_71,-1,18,Touch,,,,
