Participant,T1,T2,T3,T4,T5,T6
user3,0.688364,0.7821808,4.722529,0.9220989,1.020687,2.26453
,1.378654,1.458012,0.7778763,1.454093,2.565245,6.208173
,0.7015125,1.18911,1.066143,4.790218,0.8110181,1.510935
,1.934039,1.833135,2.232804,5.022779,5.042729,1.188891
,1.133325,13.54051,0.6334789,1.43218,0.3998143,1.476409
,1.266614,3.144181,0.6332045,1.344314,4.599186,1.022215
,1.199904,1.165921,1.265906,2.843053,2.056004,1.610644
,1.011052,3.999191,1.232397,1.877781,0.7108113,1.366491
,2.499078,,10.97523,0.7436965,0.698922,0.8776581
,7.276068,,5.032725,2.331625,3.065711,0.8212454
,8.297544,,,0.7222079,1.532176,1.122075
,2.710518,,,1.54487,0.6891957,0.7886664
,,,,3.565876,3.75482,1.366401
,,,,1.877287,1.033386,0.7548107
,,,,2.422046,1.666986,0.7887961
,,,,0.8999719,1.766427,1.844856
,,,,2.754168,1.920502,1.10968
,,,,1.943127,1.787783,0.7784976
,,,,2.199868,1.533672,0.8101363
,,,,2.199213,2.033212,1.16632
,,,,1.722083,1.388255,0.9670503
,,,,,3.109497,1.366508
,,,,,1.298641,0.6880401
,,,,,0.7003598,
,,,,,1.944303,
,,,,,1.97667,
,,,,,0.5668167,
,,,,,2.443789,
,,,,,0.8329499,
,,,,,1.088881,
,,,,,1.25591,
,,,,,1.243256,
